start	end	text
0	8640	Estamos en Instagram, Nacional Rock 93.7, desafiarnos, escuchar,
10520	18920	nunca no conformarnos, 93.7, Nacional Rock, estamos en Facebook,
19820	22280	Nacional Rock 93.7.
31020	33300	La pelota de los 90.
34140	34940	¡Carajo, mierda!
36780	40880	Se van a remontar a la infraertófera.
41160	42600	Usted tiene que arrepentirse de lo que dijo.
43180	45420	Usted sí tiene que arrepentirse, porque yo no hice nada de eso.
45440	47900	¡Ay, si querés llorar, llora, papi, papi, por favor, no!
48640	50280	¡A la vez!
51680	53000	Así ni puta, hermano.
53980	55600	Solamente que temble temor a Dios.
55940	58200	Y a mí, en todo caso, también un poquito.
58200	59780	¡Pará, pará, pará, pará, pará!
60600	62200	Con 15 pesos me hago alto guiso.
76240	80280	Estimadísimos compatriotas, ¿cómo les va, agoveros, agoveras del mundo?
80360	82800	¿Cómo están? Quiero saber cómo están.
82800	84900	Hola, Loon For Reborn.
85480	89040	Hola, Lucas Tiepe, que tiene intriga de algo de temor y se acerca.
89540	91460	Me dicen que se aproxima un tren del hype.
91800	93120	Un choo choo hype.
93520	94100	Puede ser.
94560	96640	Hola, Hola, Rey Todo Joya.
96880	97900	Vamos, mierda.
98380	99040	Hola, bro.
99260	99980	Hola, no llego ni a leer.
100060	101920	Son tantos comentarios que no llego a leerlos.
103440	104400	Quieren saber...
104400	105880	Hola, Diego Dulzura.
106120	108800	Diego Guión Bajo Dulzura, que tiene intriga y un poco de temor.
108820	110200	Bienvenido, Diego Dulzura.
110660	112200	Diego The Sweetness.
113180	114060	¿Cómo estoy yo?
114180	115240	¿Quieren saber cómo estoy yo?
116660	117540	Mal estoy.
119020	120040	Yo estoy mal.
121740	123400	Voy a hacer anuncios.
123620	128460	Estoy haciendo algunos anuncios que traje para hoy, que me parecía importante ir ordenando algunos anuncios.
129540	131420	El anuncio uno es, estoy triste.
133220	134280	Ese es el anuncio uno.
135320	136980	Algunos dirán, qué anuncio extraño para hacer.
137040	138200	Pero es un anuncio importante.
138200	138920	¿Por qué?
139140	140100	¿Saben qué es lo que pasa?
140880	148200	La mayoría de personas, cuando está triste, está mal, está molesta, va a sus laburos a vivir sus vidas de mierda.
149140	150320	Y fingen, ¿no?
151100	151500	Fingen.
152040	156500	Se cruzan a alguien en el pasillo, a la conversación ahí, cuando te estás cargando unos mateicolarpios, ¿no?
156720	158280	Te va a hacer unos matiolos.
158480	160260	Viene tu compañero de laburo que detestas.
160340	161040	Te dice, ¿cómo estás?
161180	162240	Todo bien, vos le decís.
162580	163240	Y fingís.
163460	167820	Y te vas de vuelta a tu computadora, a tu cubículo, donde nunca más vas a cruzártelo en el día.
167820	171880	Y puedes estar alegre en tu tristeza, ¿no?
172840	175840	Bueno, yo no puedo hacer eso porque tengo que poner mi cara acá.
176160	177100	Tengo que venir a hablar.
177220	178460	Tengo que venir a mostrarles mi rostro.
178800	180100	Y yo no puedo fingir.
180100	180580	No me sale.
180720	181460	Entonces, ¿cómo estoy?
181460	181820	¿Cómo estoy?
182020	182300	Estoy mal.
182560	183060	Estoy triste.
183280	185000	Hoy es un día de mierda.
185120	186920	Hoy es un día objetivamente de mierda.
187220	188540	Y lo comprobé.
188560	189340	Lo comprobé.
189540	191480	Porque me puse a hablar con personas acá.
192060	193560	Y les dije, hola, ¿cómo estás?
193880	194580	No, todo bien.
194660	194980	Y vos?
194980	196480	Y yo les dije, yo estoy para el orto.
196480	201720	Y cuando vos haces eso, el otro te dice, yo también estoy para el orto.
202460	205380	Baja sus defensas de happiness.
205920	208180	Baja sus defensas de falsa felicidad.
208540	211420	Y te dice, yo estoy para el orto.
211920	213420	Y es muy interesante eso.
213520	217360	Porque hay una presunción social de que uno tiene que decir todo bien.
217700	220020	Porque si no, está obligado a profundizar, ¿no?
220020	223020	Es como que la conversación, de repente, se pone de verdad.
223420	224500	El otro está incómodo.
224500	228500	El otro está obligado a decir, uh, uh, ¿y qué pasó?
228560	231020	Y el otro dice, no, hermano, ¿por qué me haces esta mierda?
231540	232920	¿Por qué me decís que estás mal?
233100	235500	Si es obvio que todos estamos mal, hijo de remil puta.
235800	238540	Ahora me obligás a mí a preguntarte cómo estás y qué te pasó.
239080	239940	Pero no es así.
240360	242960	Quiero derribar un primer prejuicio en este maga.
243240	248260	Que es empezar a contestarse con la misma superficialidad que uno dice todo piola y vos.
248380	249340	Decir todo mal.
249680	250220	¿Y vos?
250520	252200	Y quizás no profundizar, ¿entendés?
252400	253760	Quizás es una charla casual.
253760	256460	Pero fíjense que socialmente interesante esto.
256820	258840	Es una charla casual, sincera.
259380	259920	Eh, ¿cómo estás?
260040	260840	¿Cómo el culo?
260940	262160	Hoy es un día de mierda.
262360	262780	Listo.
263120	263560	Perfecto.
263740	264260	La persona va.
264280	265360	Bienvenido al tren del hype.
265720	266720	Bienvenido al tren del hype.
267700	268620	Agarrás y le decís, ¿cómo estás?
268680	269440	Como el orto.
270400	271940	Y hoy es un día de mierda, eh.
272020	273000	Y estén atentos a eso.
273120	274660	Porque hay que...
274660	278460	Hay que saber comprender cuando el día es una poronga para verse lo venir.
278680	280780	Y resguardarse los días de mierda.
280780	285000	Porque si el día es una mierda, no vayan a emprender cosas desafiantes.
285320	289780	No vayan a tener ese diálogo importante con esa persona importante.
290740	294020	Sea un familiar, sea pareja, sea quien poronga sea.
294340	297880	Porque hoy es el tipo de días donde las cosas salen mal.
299060	301940	Ubican esos días donde vos venís ordenado.
302360	303420	Venís full focus.
303700	304760	Venís metiendo todas.
305120	306040	Venís prolijo.
306420	310120	Y estos días que está todo como el orto son los días que te mandás cagadas.
310120	311520	Porque agarrás...
311520	312700	Esto es algo muy personal.
312840	315400	Yo cuando estoy mal, desestabilizo otros frentes, por ejemplo.
316020	317020	Es algo que me gusta hacer.
317320	320020	O sea, cuando estoy mal en un frente, voy y hago bardo en otro.
320520	321440	Para que también esté mal.
321560	325140	Como para que todo esté igual de mal que es como me siento por dentro.
325460	328740	Quiero reflejar el malestar interior en el mundo exterior.
328860	331180	Quiero que todo se vea feo como me siento.
331540	332640	Y eso es un grave error.
332740	333880	Es una pelotudez atómica.
333920	334600	No hay que hacerlo.
335020	337800	Cuando todo está mal, hay que resguardarse.
337800	338960	Estas son...
338960	343280	Si vos hoy vas a enfrentar esos procesos que ya te son difíciles.
343340	343900	¿Sabés qué va a hacer?
344140	344520	Ubican...
344520	345740	¿Vieron en Interestelar?
346300	350840	La escena esta donde están en ese planeta con una gravedad alterada.
351260	351940	Y entonces dicen...
351940	354540	Uh, esta pequeña maniobra nos va a costar 20 años.
355420	356360	Ubican ese proceso.
356660	361840	Ubican las discusiones donde vos decís esa frase, esa palabra, ese no sé qué.
361880	362800	Y decís...
364100	367660	Esta frase la voy a estar rediscutiendo un par de meses más.
368740	370540	Y se podría haber evitado, boludo.
370700	371620	Se podría haber evitado.
372180	373860	Entonces, el primer anuncio.
374040	374860	¿Por qué es un anuncio?
375260	376880	Este es el primer anuncio del Maga de hoy.
377420	378140	Es eviten eso.
378440	379740	Hoy es un día de mierda.
379920	383560	Y si están viendo este Maga en diferido y es un día de mierda, como dice acá,
383700	385120	Satu, guión bajo, guión bajo.
385380	388140	Esta maniobrita nos va a costar 51 años.
388480	390320	Acá Roda Blas dice te la mandaste.
390380	391480	No, no, yo no me mandé nada.
392060	393040	¿Qué te pasa?
394160	395340	¿Qué grajo te pasa?
396000	397000	Yo no me mandé nada.
397360	399360	Acabo de avisar que estoy sensible.
399820	401040	Acabo de avisar que estoy triste.
402420	406960	Porque yo hice todas las cosas bien y el mundo me ataca.
407800	409020	Esa es la reflexión que tengo hoy.
409480	413100	Y yo hoy no tengo ganas de llevarla a ningún otro lado.
413680	415060	Roda y Obajo Blas.
415380	416720	Eso es lo que hoy me está pasando a mí.
416920	417480	Si quieren saber.
417680	419080	Si quieren saber.
420460	422280	La gente quiere detener mi verdad.
423740	424620	Ese es el anuncio del día.
424820	425680	Tengo otros anuncios.
428820	430680	El anuncio 12 es que el lunes que viene no hay Maga.
434740	434740	
435580	436140	¿Qué?
437180	437740	¿Qué?
437780	438980	A ver, ¿qué pasa?
439220	439980	¿Qué se supone?
440140	441260	Que ustedes vienen a...
441260	442260	No, grita.
442900	442900	
444240	444760	¿Qué?
444760	445200	A ver.
446720	447660	¿Qué se supone?
448520	450040	¿Quiénes se creen que son?
450960	451520	¿Entender?
451620	452560	¿Entender lo que te digo?
453200	454620	¿Quiénes se creen que son?
455220	460660	¿Quiénes se creen que por el mero hecho de que a mí me están pagando por entretenerlos
461340	467660	con plata suya del Estado, acaso yo estoy obligado a dar todo de mí y entretenerlos?
468880	471480	Siempre mis impuestos, grita uno acá.
472320	474360	O sea, ¿quiénes se creen que son?
475140	476120	¿Acaso creen que?
476120	476700	Claro.
476700	477640	Claro.
