start	end	text
1980	4480	Siiii, pasar un poco de música sin copyright.
5180	7180	Subir el volumen a la música sin copyright.
7720	11360	Uy, mira la energía que tengo, mira la energía que tengo, cómo extrañaba esto.
11780	13620	Me hago mala encima boludo, mira lo que es esto.
13920	15180	Esto es podre que estoy tirando.
15500	21240	Cómo andan, cómo andan compatriotas, cómo andan, re papaheldos.
21540	22440	Cómo andan.
22520	23720	Cómo andan papaheldos.
25400	27180	Hola, hola compatriotas.
27180	30060	¡Oi, oi! ¡Hola, Papa El dos!
30440	33520	¿Qué le pasaba? ¿No? Estaba como...
33520	35160	Estaba mimoso. Reward.
36500	39400	¡Papá Herculápidos! ¿Cómo andan? ¿Cómo andan?
39800	42540	¡Compatriwels! ¿Cómo están? Mirá lo que es este
42540	45180	Insane Asbronzeado. Estoy...
45720	48060	Loco Santi. ¿No me podés subir un poquito el brillo?
48180	50880	Porque estoy que me pierdo. Estoy Kenyatta.
51120	54180	Estoy Blackboard. O sea, directamente...
55820	56540	Directamente...
56540	59180	Es el meme de Pipo. En la conferencia.
60180	61540	Estoy... A ver... ¡Ahí está!
61540	63860	Ahí está Greenboard. No, no. Dejame...
63860	66900	Dejame Caribbeanboard. Dejame Blackboard.
67100	69720	Para toda la gente. Para todos los compatriwels.
70620	73720	¡Papá Herculápidos! ¡Hola, hola, hola!
73720	76320	¡Hola, compatriotita! ¡Hola, agobero, agobero!
77560	80420	¡Oh, cómo están! Blackboard.
80680	82540	Ha vuelto... ¡I am back!
82540	85260	¡I am back! ¡Pichis!
85380	89020	Volvió Reward y volvió con toda Papichips.
89260	91220	¡Ay, qué feliz estoy de estar acá! Estoy muy...
91860	94860	Realmente, yo creo que sepan... Ustedes saben, este año yo dejé terapia.
95140	97160	¿No? Este año dejé de hacer terapia y es real.
97280	99940	Lo conté a principio de año y yo le dije...
99940	103620	Maga va a ser muy importante para mí. Yo necesito mi sesión de los lunes
103620	106900	una hora. Entonces, estoy realmente...
106900	109300	Estoy que me hago maga encima.
109300	111920	Estoy que me magueo todo.
112880	114840	Y estoy muy feliz de que nos hayamos vuelto a encontrar.
114960	117920	Y que estén acá los agoberos y las agoberas como todos los lunes.
118120	121700	En este momento tan raro de la República Argentina y del mundo
121700	123920	que se pensaron que los iba a dejar tirados.
124480	127480	Agoberos y agoberas se pensaron que los iba a dejar tirados
127480	129940	en su hora más oscura. Que cuando se define
129940	132800	lo destino de la patria, allí iba a estar en Disney.
133260	135060	No, papá. Nunca haría eso.
135060	137820	Ustedes saben que yo dejo todo por ustedes.
138080	141700	Y estoy acá porque nadie nunca va a romper este pacto recíproco
141700	143920	de lealtad donde yo estoy para ustedes
143920	147060	y ustedes están para mí. Y por eso les agradezco
148060	150280	quién se podría de Disney en un momento así.
150380	152720	Crema del cielo pone que estoy haciendo blackface.
157100	160280	Es la denuncia que me falta.
160660	163060	Hacer blackface sería...
163060	165280	Está a la altura de los carpetazos que me hacen igual.
165360	169480	Vieron que yo ya acepté que estoy un poco condenado a tener
169480	171620	los enemigos más tontos del mundo.
172760	174480	Tengo como la antiliga de la justicia.
175440	176820	Estoy en idiocracia.
177600	180080	A mí me reparten solo imbéciles.
180260	184060	En mi set de enemigos por algún motivo son todos extra...
186140	187480	cromosomáticos, básicamente.
188460	189220	Todos, todos.
189220	192700	Y sí, efectivamente podrían hacer mejor una buena operación
193740	194340	indignante.
