start	end	text
2240	10480	Bueno, buenas, gente. ¿Cómo andan? ¿Cómo están, bien? ¿Cómo andan, compatriotas? ¿Cómo
10480	26940	están esas transiciones, Jungleman? A ver, tirame una transición, Jungleman. Tirame
26940	37920	bueno ese. Qué bueno. Ah, uh, uh, eso. Estoy leyendo acá los comentarios. Creo que va
37920	47560	a estar tranqui hoy, ¿no? El esquema. ¿Cómo andan, queridísimos? Ah, Dios. ¿Cómo andan,
47700	51420	compatriotas? ¿Cómo están? ¿Hay algo en particular de lo que tengan ganas de hablar?
52060	63900	11 39 39 88 88. Les voy a pedir una sola cosa. Recuerden, recuerden que no manden audios tan
63900	75820	largos, ¿sí? Si quieren decir algo, traten de decirlo breve. Clapity clap clap. Ay, qué concha
76020	84340	Iván Escarpatti se acaba de donar 900 pesos al canal. ¿Por qué sos tan hijo de puta, boludo?
85780	92680	¿Por qué? ¿Qué estás haciendo, Jungleman, ahora? ¿Qué es este baile? No estoy bailando. ¿Por qué la
92680	101300	cámara me hace bailar cuando yo no estoy bailando? No puedo creer. Felicidades, felicitaciones,
101300	108660	felicitaciones, Altano Escarpatti. Dijo que iba a venir hoy. No vino. ¿Qué le vamos a hacer? Acá
108660	115960	sigo viendo en pantalla sus 900 pesos. Claro, claro. Con lo que ganó, no le costaba, ¿no?
116500	127200	Evidentemente, aportar 900 pesos. 912 apostó, ¿no? Dice 9. Mándoste, qué hijo de puta.
129140	138920	Qué tipo de hijo de re-mil puta, boludo. Bueno, a ver. ¿Cómo baila el ritmo del colibrí? Todo
138920	145720	este programa está hecho nada más. O sea, de verdad, de verdad esto es protocolo Larry de Clay
145720	148980	de manual. O sea, los contenidos que uno quiere ver en última instancia siempre son el mismo.
149120	155420	O sea, es el eterno retorno de los contenidos de los que uno quiere hacer. No es reward, tiene más
155420	162060	pelo, ojos hinchados. Tomás de Michele. Ya lo leí, ya lo leí, ya lo leí. Fue todo lo que me
162060	169340	escribieron de ayer a hoy Tomás de Michele, ¿está bien? Está bueno, está bueno. Está bien hecho,
169500	180060	es gracioso, sape, ¿sí? 912 mandó. Qué hijo de re-mil puta. Acá está. Ah, mira la compañera
181560	187580	también, gallina. ¿Cómo se acordaron dónde tenían las camisetas aparentemente? Hoy viene todo el
187580	193260	mundo de River, están con un entusiasmo particular. Es casi como si estuvieran celebrando. Tenemos
193260	198900	audio, Maxi. ¿Querés mandar? Bueno, manda. A ver, manda un saludo. Muchi, escarpa. Acá,
199020	204820	Dani Arzú, el periodista. Los voy a hacer concha cuando los vea. Los voy a hacer concha, hijo de
204820	213320	puta. Dani, te mando un abrazo. Tano, Dani es discapacitado, está en silla de ruedas y lo
213320	220360	acabas de ofender. Y lo que hiciste es... Ok, Maximiliano Panza Fernández también acaba de
220360	234800	donar 912 pesos al canal. Lo cual es una paradoja, ¿no? Porque me están dando plata. O sea,
234800	242080	no sabes el lechón que tira la barrilla. Bueno, hay más audios, hay gente saludando, quizás cosas 11,
242480	250640	39, 31, 88, 88. No tengo ningún... ¿Cómo te duele la cola? No me duele la cola. Nahuel Cuarají,
250800	260320	no me duele la cola. Mi cola está bien. Hola, Roger Rumeni... ¿150? ¿Qué es Ushu? Uruguayos.
260320	266680	¿Pueden mandar uruguayos? Gracias. Penalazo. Mi gloria es para dios.
270060	275620	Tu boca perdió Boston. ¿Cuándo te vas a dar cuenta que Boca y Boston son la misma entidad?
275920	282520	Los Lakers son los chetos de mierda. Date cuenta, Rebort. Ok, hay alguien acá militando que los
282520	290220	Celtics en realidad son Boca. Puede ser, puede ser. Honest, te dan plata para las carilinas. Casi
290220	294340	como si se hiciera solo este programa, ¿no? Hoy en día es así particulares. Es algo de evaluar,
294420	300280	es algo de evaluar a nivel contenido lo que sucede. ¿Quieren hablar? ¿Quieren hablar del clásico?
300280	303220	Por supuesto, vamos a hablar del partido. Por supuesto que vamos a hablar del partido. No
303220	320200	tengo ningún problema en hablar del partido de ayer. Gracias, Nicolás Zarewski. Ok. Hagamos
321040	325140	Ah, quedó el de basket. Ah, ok.
335200	337940	Ah, lo mismo, sí, sí.
344520	345440	No.
350200	354920	La vida no es la misma sin fútbol.
357220	367560	Yeah, yeah, yeah. Ok, vamos a hacer Toma Dolor Cola. Lo están intentando, lo están intentando.
367700	374800	Maná, Maná, sí, Maná. Hola, Rebort. ¿Qué opinas de que mientras los jugadores de River y Boca se
375060	382080	estaban cagando a full, a trompadas, el colombiano Borja estaba en modo Dios es vida, Dios es paz,
382220	388560	Dios es amor. Y que nunca, nunca quiso ir a ayudar a sus compañeros, aunque los vio y los miró y
388560	397040	observó. Solamente pensaba en el colibrí y en Dios. Sí. A ver, a ver, vamos, vamos por partes.
399920	407820	A Boca ayer lo cagaron, sí. Nos cagaron, está bien, a veces pasa, a veces pasa, es normal,
408180	412320	a veces te cagan, sí. A Boca ayer lo cagaron, yo ya he dicho muchas veces que Boca no pierde,
412460	420400	lo cagan. Y una vez más lamento tener razón. Se ha corroborado, está cogido, toda su hostilidad.
420700	424980	A Boca lo cagan y esto es real, o sea, nadie se puede ofender. Si un gallina, si alguno de ustedes
424980	431720	gallinas, hijos de re mil puta, es honesto, van a saber que nos cagaron. Está bien, está bien,
431760	440860	no. Eso es solo para empezar a despejar los análisis. El partido era un 0 a 0 rotundo,
441260	451840	era un 0 a 0 animal, sí. Inventar no fue penal, inventaron un penal, no fue penal. Yo sé que esto
451840	456480	es como súper divertido para los gallinas porque dicen mirá, mirá cómo llora el hijo de puta. Yo
456480	461040	digo verdades. A veces alguien tiene que poner la cara y decir las verdades, decir la verdad. No fue
461040	465880	penal, no fue penal. No estoy diciendo nada que ustedes no sepan, sí. A veces las jugadas son
465880	470460	penal, a veces no son penal, sí. Eso es como para ponernos de acuerdo en lo que está pasando. Después,
470560	475560	por supuesto, perdimos. Si yo llorase, no lo hubiera pagado al hijo de re mil puta,
475620	479860	el Tano Escarpati. El partido terminó y le transferí guita inmediatamente, sí. Si yo
479860	483580	hasta me atubiese como a la moral y las buenas costumbres, le diría mira, no debería pagarte
483580	490100	nada, hijo de puta. Pero le pagué. Le pagué porque códigos son códigos, sí. Estoy viendo
490100	495720	el chat bastante activo. Ah, pero Boca jugó, preguntaron acá, no. También me decían eso ayer.
495840	501340	Che, vale patear al arco, no. Vale cruzar la mitad de cancha. Boca estaba haciendo un planteo
501340	506380	excelente. Boca estaba haciendo un planteo excelente. Yo estaba muy conforme con el planteo
506380	514040	de Boca. Esa, la anterior, la que no entra, la que rosa la línea y se va afuera del chiquito
514040	521780	Romero, cuando esa pelota no entró, yo dije quizás estamos acercándonos a la contra horrible y un
521780	528220	gol de Horto. Y eso es lo que debería haber pasado. Pero a veces, a veces no pasa, a veces no pasa,
528500	533920	sí. Estamos ok con eso, a veces no pasa. Lo que debería haber pasado fue, era un gol de Boca en
533920	540540	el minuto 93. No pasó. Inventaron un penal y está bien. Ganaron, sí. Ganaron, puede pasar.
540960	545820	Podemos ahora empezar a desglosar todo. Un rebot siempre paga sus deudas. No, yo pagué,
545900	552740	pagué mi deuda. Pagué jugadores la próxima. Boca estaba haciendo un planteo excelente. Boca
552740	558600	estaba haciendo todo lo que acordamos hacer, sí. Tengo algunas opiniones. Primero, tengo muchas
558600	565640	cosas para decir. Arranquemos por el planteo táctico de Boca. Yo estoy para seguir defendiendo al
565640	570380	mister Almirón, sí. Y eso es algo que me parece que todo bostero coincide. Almirón lo está
570380	576000	intentando, lo está intentando. Está jugando con dos palos y un alambre, sí. Lo está intentando
576000	581400	hacer. Mete huevo, le mete ganas, profundiza, se juega a plenos. Eso es interesante. No le debería
581400	585580	haber ido tan mal con todo esto, sí. Y él sabe que se está jugando una única y sabe que lo está
585580	589720	haciendo. Y Almirón está en un proceso muy interesante. Para mí, hay un proceso de
589720	597240	autopercepción bostera de los jugadores. Pasa que todavía no está completo ese proceso. Almirón
597240	604160	descubrió, Almirón sacó ad víncula del clóset. Almirón agarró ad víncula y le dijo, vení,
604300	610500	negro. ¿Vos qué querés ser? No, bueno, yo soy lateral, no, yo soy profesor. Dale, dale. ¿De qué
610640	616160	querés jugar? Yo vi ese gol que metiste el otro día. ¿De qué querés jugar? ¿De qué querés jugar?
616540	623680	Y ahí ad víncula, llorando, se anima y dice, yo quiero jugar arriba. Yo soy, yo soy 8, le dice ad
623680	636200	víncula. Sale del clóset. Vázquez es 2. Vázquez es central. Yo creo, o sea, hay un problema de
636200	642760	de boca. Solo hay que llevarlo al plano táctico. El mismo 11 de boca tiene que jugar todos. Es casi
642760	647440	como un juego de la silla cruzado. Cada uno tiene que rotar de posición. Rotás a la posición del de
647440	658380	tu derecha. Villa es un excelente lateral. Máquete lo Villa. Corriendo por la banda. Corriendo por la
658380	665940	banda. Vázquez despeja todo. Yo creo que Vázquez quizás lo que pasa es eso, que hay que hablar con
665940	671280	él y nunca, nunca hablaron y él dice, yo quiero despejar pelotas, hermano. Quiero despejar, sí.
671880	679720	Quiero despejar pelotas para adelante. Fabra es 9. Fabra es 9. Yo quiero que Fabra se recupere.
680880	688920	Fabra puede ser el gordo Ronaldo si lo dejan. Y él está intentando hacerlo. ¿Sabes lo feliz que
688920	697520	haría Fabra si alguien viene y le dice, cúchame mi pana, cúchame panita, no tenés que volver más?
698520	706500	No tenés que volver. Despreocúpate del retroceso. Juga arriba. Gordo 9 pescador. No pasa nada. Boca
706500	712880	está en un proceso. Boca está en un proceso. Chiquito Romero de 9. Boca está en un proceso
712880	718560	de autopercepción de jugadores. Tienen que hacer terapias de grupo. Tienen que estar terapias de
718560	727060	grupo. Ronda terapia de grupo y cada uno dice de verdad lo que siente que es en la cancha. Y hay
727060	733260	que dejarlo jugar de eso. En el partido de ayer, uno de los pocos que creía, si no el único, era
734240	741660	Advíncula. Advíncula a Fabra Alarco. Fabra puede ser 10 también. Fabra también puede ser 10.
742700	748580	Villa lateral. Vázquez central. Yo creo que eso es interesante.
748880	754660	Eso es interesante. Advíncula enganche. No hay ningún problema. Pasame audio si hay, ¿eh?
756080	760160	Rebord, ¿viste la parte en la que Almirón le tira la pelota lejos al jugador de River,
760400	765260	como para que tarden en salir? Y después de Michelis le entrega la pelota en la mano a la
