start	end	text
0	13340	para culparle a no
30000	46840	Llamame cuando llegues que yo, yo ya estoy listo, llámame cuando llegues, llámame cuando llegues que yo, yo ya estoy listo para vos.
50660	56340	Hay pan pan, hay vino, vino, sobre las cartas de la mesa.
56920	59240	¿Para qué cazó estos pájaros? ¿Para qué?
59240	63220	Hay que tener una jaula, una ablido y ese.
66500	72760	El problema es que la deuda es como la faropa. Al principio es rica, pero después te mata.
73740	75900	Vos sabés que sí, vos sabés que sí.
77540	78320	Vos sabés que sí.
78400	84520	Si esta copa es de leche, te la tomaste toda, te la tomaste toda, chingüengüencha.
84520	87720	No sabés ni hablar, brutos. Váyan a estudiar.
88060	92000	Acaba de cortar la medicina porque metiste un cuchillo y después te electrificaba, loca.
92240	94540	Ah, bueno, lento. Ayudadme que me voy.
100920	112140	Uy, uy, uy, uy, no, volvió maga, no, no puede ser. Volvió maga, loco. Eh, no estoy bien. Estoy muy bien, eh. Estoy muy bien.
112140	119140	No sé si se dan cuenta lo bien que estoy. No sé si se dan cuenta lo fresco que entré.
119360	126720	Venía por el pasillo, me cruzo, alerta urgente, a Rufo, a Simonetti, a Elisa, a Moira.
126940	133600	Digo, boludo, estás muy bien, me dicen. No, no, no le dije. No, no, no. No tienen idea lo bien que estoy.
134300	140920	Han pasado demasiadas cosas. Hace mucho que no nos vemos. Hace mucho. Hay abstinencia de maga.
140920	146200	La gente en la calle lo tiene, no sé si lo nota. Se cruzaron gente por la calle caminando cabiz bajos.
146560	151860	No hallando la ciencia, no hallando la verdad. Agarrando y diciendo, loco, what is happening?
152260	154460	Where is the maga? Where is the love?
155080	159980	Y la gente no lo encontraba. No había choo choo train. No había train de la Finesa.
160260	164240	Pero maga siempre vuelve. Maga siempre está volviendo.
164240	171080	Como Perón, como Gardel, como Lula, como las grandes figuras que siempre están en un retorno.
171380	174560	Maga siempre está volviendo. ¿Y cómo no va a volver maga?
174740	180400	Si tenemos a la mejor comunidad del planeta, la comunidad agovera, el agovero está loco, pollo.
180800	184320	El agovero está loco. Estoy lleno de regalos. Me llegaron regalos estos días.
184480	188580	Cosa que me conmueve mucho. Por un lado, un libro del mismísimo Jorge Piba.
189400	193180	El agovero Jorge Piba. Ustedes ya recuerdan a Jorge Piba, ¿no?
193180	198200	El poderoso dueño médico de Medife, que tiene todo el poder.
198980	200620	Jorge, escucha este vídeo en programa con ustedes, ¿eh?
201680	206780	O sea, ustedes están conectadas a una de las personas más poderosas del país, a partir de maga.
207260	211500	Yo enfermé, caí, como saben, caí, me bajaron, me bajaron.
211960	215280	Y Jorge Piba, el agovero, me escribió a Twitter y me dijo,
215280	218260	Pongo a disposición toda mi ciencia y toda mi técnica.
219960	222700	Jorge Piba mandó médicos a mi casa. Ese es el agoverismo.
223240	227480	Mandó médicos a mi casa, en detrimento de otros socios de Medife. ¿Se entiende?
227880	231360	Y pues gente que paga la cuota, gente que dice, che, yo te banco, Medife.
231800	234380	Esos médicos, ese día, no pudieron atender a ese socio.
235220	238820	Y le dijeron, tengo que ir a ver si Reborde está bien.
239920	243240	Y él dijo, ¿pero Reborde es socio de Medife?
244460	249560	Y el médico le dijo, tu pregunta no hace a la Argentina grande otra vez.
250580	252660	Y fue todo muy tenso.
253220	258140	Porque Jorge entró a levantar teléfonos y dijo, me chupa un huevo que no sea paciente riesgo.
258660	265000	Me chupa un huevo que no sea socio. Es agovero que es más importante.
265540	268400	Y Medife va a estar ahí y me mandó un libro de su padre.
269000	270640	Me mandó un libro de su padre.
270640	274640	De José Carlos Piba, con el poder de la Piba dynasty.
276160	276880	House Piba.
277080	279880	Vieron que hay houses en la política argentina, ¿viste?
280220	283400	Están las houses, después están los escuderos de las houses.
283880	285440	Gran tema, algún día lo vamos a abordar.
285740	290640	El loco Simón, agovero histórico, viene a todos nuestros encuentros.
290940	294620	Simón escribió, porque Simón, como buen agovero, tiene arte, tiene fineza.
294940	298100	Y dijo, voy a hacer un libro. Y se animó a hacer un libro, es muy difícil, yo no me animo.
298100	302220	Yo vengo trabajando en el náucrato, hace mil años, y Simón se atrevió.
302820	306460	Y dedicatorias muy lindas me pusieron, las leí, me conmoví antes de entrar.
307340	311660	Mira, Simón me agradece por haber conocido el hombre que está solo y espera.
312500	314040	Claro, me debe la vida, Simón.
315280	318180	El tipo que te recomienda el hombre que está solo y espera, de Escalabrine y Ortiz,
318260	320260	si vos no lo habías leído, le debes la vida.
320360	325280	Entonces yo sé que Simón está agradecido, porque yo lo salvé a Simón.
325280	327280	Y me mandó libros, así que esto voy a sortear.
327360	330220	Y mira, es lo que es este mate y colarpio, no, este lo voy a mostrar después.
330340	334040	Es lo que es este amor, el amor de los agoveros, el amor of the people.
334340	336280	Después lo voy a mostrar bien, después lo voy a mostrar bien.
336560	342300	Pero no quería dejar de agradecer al más maravilloso pueblo agovero.
342560	346200	Y ya, ¿qué hora es? No llego, no llego.
346420	348340	¿Qué tengo, una hora de programa? No llego, perdón.
349080	353260	Flor, Flor Trevino en cabina, productora que vuelve, porque Maxi está dado de baja,
353260	356540	dado de baja por enfermedad, no aguantó la ciencia, no aguantó la verdad.
356760	358720	Vino Flor, productora histórica.
358980	361300	Flor, no llego. Flor, me queda una hora, pero no llego.
361700	364260	Lo estoy viendo ahora. No llego, no llego.
