start	end	text
600	5000	se van a remontar a las estratosferas
5000	6600	Usted tiene que arrepentirse de lo que dijo
7080	9440	Usted se tiene que arrepentir, porque yo no hice nada de eso
9440	11560	Ay, si querés llorar, llora papi, mami, por favor
11560	12620	No, no, no
12620	14020	¡Ay, mami!
15780	17000	Así diputado, hermano
17840	19580	Solamente que tenga temor a Dios
19580	22240	Y a mí en todo caso, también un poquito
22240	24300	Para, para, para, para
24300	25100	Conquiste
73800	74940	¿Qué haces?
75360	76460	¿Todo bien?
77280	79220	Che, gracias por hacer más
79220	81980	Pero, qué lunes de mierda, hermano
81980	83780	¡Qué lunes de mierda, boludo!
85080	88460	Estoy más refutador que nunca, la concha de la lora
88460	89980	Tan lindo que podría haber sido
89980	89980	
89980	89980	
89980	89980	
89980	89980	
89980	89980	
89980	89980	
89980	89980	
89980	89980	
89980	89980	
89980	89980	
91360	94080	Mirá la poronga que salió
94080	95240	Puta madre
126280	128560	¡Pobre la concha de tu madre!
158240	160500	¡Pobre la concha de tu madre!
191980	193400	¿Qué haces, Rebor?
193540	194180	¿Cómo estás?
195840	196780	¡Qué paja, no!
198580	199900	Concha de la lora
202020	203380	Me gustó
203380	206000	Me gustó el timing de este
206000	208460	Me gustó como esperó
209280	209960	Eh...
209960	209960	
209960	209960	
209960	209960	
209960	209960	
209960	209960	
211960	214720	Bueno, les doy la bienvenida
214720	215960	Voy a hacer algunas
218300	219660	Advertencias preliminares
220980	221660	Eh...
221660	223040	La persona que esté
223040	224420	Que haya venido acá
224420	226440	A este maga
226440	228180	Buscando esperanza
228180	229940	Buscando alivio
229940	231760	Buscando entusiasmo
231760	233840	Le voy a pedir que se retire
233840	236080	Le voy a pedir que no
236080	237880	Pero no por mí, por ellos
237880	239360	O sea, si quieren, quédense
240360	241160	Pero...
241160	243600	Pero no pierdan el tiempo
245100	245900	Eh...
245900	247560	Las personas que por el contrario
247560	249960	Entraron queriendo verme bien
250940	251740	Garchado
253160	253960	Quédense
253960	255880	Les espero un programón
257880	259540	Estoy muy garchado
259540	261540	¿Teres un audio?
263320	263880	Pásame, pásame
266500	267520	Ronda de aplausos
267520	269160	Pasillos para el campeón
275320	276040	Muy cogido
279120	281300	Yo sé que hay gente que
281300	283160	Que me quiere, sé que hay mucha gente que
283760	285540	Que le pone feliz mi felicidad
285540	288000	Me lo hacen saber siempre, siempre me lo aclaran
288000	289160	Y se los agradezco
290760	291120	Eh...
291120	293400	También sé que hay mucha gente que le pone feliz
293400	294560	Mi sufrimiento, ¿no?
294560	297020	Le pone feliz mi tristeza
297020	299020	A esas personas les garantizo
299020	300780	Que estoy muy, muy triste
301720	302520	Así que...
302520	305100	Estoy realmente muy triste
306060	307080	Así que bueno, por lo menos
307080	308820	Que la tristeza sirva para algo, que se yo
308820	310440	Que haya un par de personas en su casa
311000	313420	Descorchando, boludo, alguna vez tiene que pasar
313420	314680	Alguna vez no se ha pasado
314680	317760	Ya he hecho, pero ya no es la primera vez que hago un maga cogido, ¿no?
318000	319400	He hecho magas ya muy, muy
320360	320760	Garchado
320760	322860	Creo que no tanto, boludo
322860	324160	Creo que no tanto
324160	326860	Así que le doy la bienvenida a todas las personas
327560	328160	Que...
328760	331280	Que vengan a haberme reventado
331280	332980	Estoy mal, boludo, estoy muy mal
332980	334140	Estoy en serio muy mal
334760	336760	One last FIFA time
