start	end	text
0	6000	Me canto al igual hielo
10880	17000	La tormenta es como la música alienta
17520	23000	Y te veo en trozos de un espejo roto
25220	29000	Silbaremos con los labios rojos
30000	37000	Una melodía que nadie conoce y que hice mía
61520	63380	Hay pan, pan, hay vino, vino
65120	67300	Sobre las cartas de la mesa
67300	69420	¿Para qué cazó esos pájaros?
69660	69780	¿Para qué?
69780	74000	Ahí tenían una jaura, una ablido y ese...
77100	80260	El problema es que la deuda es como la faropa
80260	83780	Al principio es rica, pero después te mata
83780	87760	Vos sabés que sí, vos sabés que sí
88540	92260	Si esta copa es de leche, te la tomaste toda
92260	95200	Te la tomaste toda, chingüengüencha
95200	96960	No sabes ni hablar, brutos
96960	97760	Váyale a estudiar
98480	101280	Acaba de cortar la medicina porque metiste un cuchillo
101280	102740	Al que después quedaba entre mis cabas, loca
102740	103760	Ah, güey, no lento, ah
104380	105180	Ay, dame el que puede
123300	124340	¿Les gustó?
125020	126980	¿Les gustó el primer bloque de maga, gente?
128560	129500	Estuvo bueno, ¿eh?
130800	134960	Acá en la cabina están llorando los compañeros
134960	135600	Sí
136160	138360	Maxi está conmovido, nunca lo vi así
138360	139860	Nunca lo vi así a Maxi
139860	143040	Acá le corre una lágrima por la mejilla
143880	146700	Nuestro flamante operador está, le tira los dedos
146700	147740	Agarra y dice chingüen, chingüen
147740	152740	Que nunca, nunca escuché una cosa semejante
154540	156980	Hermanos, ustedes se están quejando en el chat de que se escucha mal
156980	159880	Tuvimos 25 minutos de una pantalla negra en silencio
159880	163200	Y ahora se ponen finos como que se escucha mal
163200	164920	¿A qué programa están yendo, loco?
166300	167260	Por favor
169280	170240	Querísimos compatriotas
170240	172100	Les quiero pedir disculpas por este arranque
172100	173860	Se los he dicho a la vez pasada
173860	177220	La realidad es que yo creo que es en el marco de cosas buenas
177220	179940	Igual, la radio está haciendo grandes optimizaciones
179940	182300	Ahora tenemos una computadora de recarajo
182300	184860	Pero evidentemente no la podemos usar
184860	188320	O sea, lo que le pasa a Maga es que es demasiado poder, ¿se entiende?
188900	192000	O sea, Maga funcionaba atado con alambre y más o menos salía
192000	198120	Ahora tenemos una capacidad técnica tan grande que tenemos capacidad osiosa, ¿viste?
198640	200540	No sabemos cómo administrarlo
201220	204060	Y eso es un poco lo que estamos intentando
206160	207420	¿Qué sé yo?
207420	209840	No sé ni cómo conjugar intentando con el administrarlo
209840	211220	No me piden mucho
211220	212420	No me piden nada más
212420	213080	Hagan ustedes
213080	213800	¿Saben qué?
214040	214660	¿Saben qué?
214980	216860	Hoy los necesito yo a ustedes
216860	217060	¡11!
218240	218800	¡39!
219100	219660	¡39!
219960	220520	¡88!
220660	221200	¡88!
221960	223680	Hoy los necesito yo a ustedes
223680	228060	Es el máximo grado de accidentación posible
228780	231060	Si es que eso es ser pasible de ser conjugado
232720	234440	Ya dijo esto como cuatro veces
234440	236300	O sea, ya los invocé varias veces, ¿no?
237940	240560	Acá habrá teorías que dicen que están todos los micrófonos abiertos
240560	244700	Podemos chequear eso en cabina que dice que están todos los micrófonos tomando sonido
244700	246700	Y no el mío
246700	249920	Hay otros que dicen que lo que está abierto es el micrófono de la cámara
249920	251920	Y no el mic que estoy usando
251920	255200	Hay otros que dicen que un hechicero lo hizo, ¿no?
256060	258140	Esa línea conspirativa que nunca falla en la Argentina
258140	260980	Hay más gente que dice que Cristina se ha optado a perder el despacho, ¿no?
261380	263160	No, este maga está armado
263160	266480	¿Vos que te pensé que es un accidente, que estuvieron 25 minutos en silencio?
267100	269720	No va a ser que tienen una computadora y no se hagan instalar
269720	271340	Claramente es un plan
272240	276140	Claramente es algo que están haciendo a ver qué onda, qué está sucediendo
278720	279440	Estimadísimos compatriotas
280000	282760	Ya no sé ni qué se está escuchando ni qué se ve
283420	285620	Pero lo que yo quiero hoy decir
286160	287580	Para hacer un reconocimiento
287580	290180	Maxi, me cerrasa ahí la puerta, por favor, que me escucho del otro lado
290180	291980	Me estoy diciendo loco, gracias
292640	294080	Gracias también por acá, por todo
294620	296220	Ya estoy...
