start	end	text
1720	4400	Vino sobre las cartas a la mesa
5000	6600	¿Para qué cazó estos pájaros?
6780	7060	¿Para qué?
7140	11160	Ahí tenían una jaula, un abrido y ese
14260	17400	El problema es que la deuda es como la faropa
17400	20980	Al principio es rica, pero después te mata
20980	24000	Vos sabés que sí, vos sabés que sí
25000	29160	Vos sabés que sí, si esta copa es de leche, te la tomas de todo
29160	32940	¿Te acuerdas de tu primer programa que mandaste una consigna y nadie te respondía?
33120	34040	¿Te decían que era el quinta coral?
34420	35380	¿Se lo estudiaba?
35820	39920	Acabas de cortar a la medicina porque te metiste en un cuchillo y te fue que entré en su cama, loca
43700	54080	Me dicen que creo que salió tu audio recién, eh
54080	55800	Creo que saliste...
55800	57180	Me dicen que creen que saliste hablando
57180	58860	Cosa que prefiero igual, eh
58860	60720	Cosa que prefiero, quiero creer que prefiero
60720	63160	Pero lo veo acá en el...
64060	65300	Lo veo acá en el Twitch
66120	72100	Escuchaban la voz del operador de este programa que me recordaba que fue el primer operador de la historia de MAGA
72100	73180	Hoy vino por primera vez
73180	77900	No voy a mentirles, gente, no voy a mentirles, estoy molesto, estoy extremadamente molesto
77900	82600	Dado que tuvimos una serie de perfectos técnicos que casi amenazan con la integridad de este programa
83180	85680	Así que voy a arrancar este programa así, enojado
85680	86580	¿Con ustedes?
87240	87680	Quizás
88140	88580	Probablemente
88580	93140	Porque sí, porque si todo está enojado por estar enojado con ustedes, ¿qué hicieron ustedes para que MAGA salga mejor, no?
93440	95840	Entonces ese es mi estado anímico del día de hoy
95840	97360	En este MAGA feriado
97360	100240	Este encuentro semanal que tenemos, este fin
100240	102000	Este fin de feriado
102680	106280	Y hay varios temas para hablar, varias cosas para traer a colación, ¿no?
106520	108680	A partir de acá, del enojo
109300	109980	¿Por qué no?
110820	112300	Quizás es la propuesta de este MAGA
112300	114640	Estar un poco molestos, estar un poco enojados
114640	116640	El otro día me enojé
118440	119440	Tengo, es más
119440	121660	Tengo un pedido de disculpas para hacer
121660	123640	El otro día, ahí en...
124560	126700	Nos juntamos en Alcarajo, en el Club Cultural
126700	129060	Que hubo varios de ustedes, agoveros que fueron
129060	129900	Pero, ¿sabes qué?
130160	132960	Flashe y me quedé pensando, después me quedé enroscado con eso
134340	134740	Porque...
134740	137620	Quiero que sepan, yo soy muy culposo, yo sí creo que hice algo mal
138280	140400	Si dañé a alguien, por ejemplo, ¿viste algo?
140400	145360	Me quedo pensando en eso, pero de una forma que me torturo
145360	147400	Y yo me equivoqué, en Alcarajo
