start	end	text
0	8000	y no vino sobre las cartas la mesa para qué caso estos pájaros para tener una
8000	11580	jaula con abrigo y ese
14360	19820	el problema es que la deuda es como la faropa al principio rica
19820	25380	pero puede matar vos sabés que sí vos sabés que sí
25380	32760	si esta gopa de leche te la tomaste toda, te la tomaste toda chingüengüencha
32760	36020	no sabes ni hablar, brutos, vaya a estudiar
36020	40300	acaba de cortar la medicina porque metiste un cuchillo y después quedaste en su cara, loca
40300	42680	ah bueno, no importa, ahí está lo que fue
54680	60880	¿Cómo están agoveros? ¿Cómo están compatriotas? ¿Cómo están tanto tiempo?
61200	65760	¿Cuánto tenemos? No, mirá lo que es eso, estamos acampando hace dos horas dice acá
65760	72660	Luis Corbusier, lo conozco, conozco esos nombres, ¿saben lo que significa que conozco esos nombres?
73660	78700	¿Ustedes sabían eso? Que cuando a mí me muestran un agovero, yo lo reconozco
79360	85220	porque eso es este espacio, es ese lugar de máxima intimidad
85220	93060	¿Saben que el otro día me pasó que estaba teniendo una cena, estaba cenando con un
93060	99460	muy poderoso empresario de medios, poderosísimo, poderosísimo, una persona de gran poder
99460	105640	de gran influencia y estaba cenando, estaba cenando ahí con él y dialogando y bueno
105640	112240	este muy muy muy poderoso empresario de medios me decía, qué cosa, qué bueno que está
112240	119480	el método, qué bueno que está la columna en lo de Navarro, me decía y me quedé sin
119480	128440	música ¿No hay un Toto, un África? ¿Maxi? ¿Estamos? Ah, porque me faltaba como un ambiente,
128440	137240	me faltaba un Sound Round, estaba ahí cenando y me decía que bueno esto, que bueno lo otro
137240	149520	y yo le digo ¿Qué opinas de Maga? y me dice Maga es inclasificable, me dice
149520	157080	Maga es un Frankenstein, Maga es un monstruo, no puedo saber ni decir si un Maga es bueno o
157080	161920	malo, no puedo, físicamente no puedo, no puedo distinguir un programa bueno de uno
161920	167920	malo, o sea no es un producto radial, me dice, o sea no sé por qué alguien escucharía
167920	174500	eso, por qué no y yo me quedé con eso, esa cosa inclasificable, ese engendro, ese monstruo,
174540	184880	ese Frankenstein y eso es Maga y un agovero, un verdadero agovero es alguien apuesto a
184880	190640	todo, es el verdadero núcleo, lo digo siempre, es el núcleo duro del núcleo duro, es la
190640	199580	resiliencia de la resiliencia, es el que, ¿Se acuerdan un discurso de Trump cuando el chabón
199580	206440	dice que él podría dispararle a alguien en el medio de la quinta avenida y eso no
206440	211160	lo haría perder ni un voto, que gran discurso, un gran discurso, yo podría ir caminando
211160	219060	a dispararle a alguien y no perdería ningún voto, el agovero es eso, el agovero es eso,
219340	227720	el agovero es, si yo un día vengo acá a hacer un Maga y traigo un bebé, un pequeño bebers, bebé
227720	231680	hermoso, hay un bebé súper lindo, de hecho el bebé o sea como que mira un poco a cámara y dice
231680	237080	las amas, dice como sus primeras palabras al aire el chabón, o sea es como súper emocionante,
237080	244840	la gente se quiebra y yo le arranco la cabeza al bebé, y muestro y hago el resto de Maga con
244840	253100	un pequeño cráneo de bebé sobre mi cabeza, sabes que dice un agovero, y bueno el bebé algo habrá hecho,
253460	260040	saben que dice un agovero, el agovero dice sí pero viste cómo se lo estaba buscando el bebé, entonces
260040	268800	eso es Maga, y desde ese lugar les hablo, hoy no, hoy no tengo, sabes que, sabes que, sabes que, hoy no, hoy no tengo, hoy no tengo
268800	274340	gana, no tengo gana de fingir, hoy no tengo gana, a ver si hay alguien acá ahora en el Twitch de las 500
274340	279620	personas que agarra y dice no, che, mirá yo estaba viendo de curiosidad, la verdad que no estaba ni para
279620	286320	matar un bebé, ni la siento tanto por eso, bueno andate boludo, andate, andate, andate, porque lo que sigue
286320	293380	hacia dónde vamos, hacia dónde vamos, no estás listo para lo que viene, entonces andate, como cuando me escriben,
293560	298720	muchos de ustedes me escriben, viste, agarran así acá dice, viste, Luis Corbusier dice claro ese bebé era la
298720	304300	antimística, el bebé se lo merecía, algo hizo, eso dice un agovero, el resto de las personas no, condena,
304420	312480	Maxi llamando a la policía, gente llevándome, el agovero no, el agovero no, viste, ustedes muchachas me escriben, che, a mí me da risa lo que haces,
312480	325220	pero mi novio no te banca, mi novia no te banca, mi lo que sea, bueno saben qué, saben qué, déjenlo boludo, déjenlo, déjenlo, esa relación no da para, yo siempre les digo lo contrario, pero,
325220	338820	pero saben qué, hoy no, hoy no tengo ganas, esa relación no da para más, ya está, ustedes lo intentaron, yo sé que lo intentaron, hoy no tengo ganas, hoy no tengo ganas, hoy no tengo ganas,
338820	350640	y ustedes tampoco tienen ganas, hoy, hoy, hoy tienen razón, eso es lo que quiero decirle a ustedes, hoy tienen razón, vieron esa pelea de mierda que tuvieron,
350840	363220	hace tres, cuatro días, la semana pasada, no bueno, y ustedes ya estaban en su casa, revisando sus posiciones y como diciendo, no bueno, puede ser que yo flashé, tenía un punto,
363740	376180	no, hoy no, ustedes tienen razón, ustedes siempre tuvieron razón, hoy no, entonces hoy están poniendo maga tu novio, te dicen, no esa mierda, no, déjalo boludo, déjalo, es más, ni siquiera argumenten,
376440	385500	cesen esa relación, agarren y digan basta, así coorden, alguna vez alguien habrá cortado así en la historia de la humanidad, hace una persona de repente que dice, basta,
386060	399220	¿cómo? de la nada, no es que están peleando, ya está, basta, basta, esto no da para más, alguien te lo tiene que decir, voy a ser yo, a las quinientas, veintiocho personas, basta,
401380	415200	no sos Voces Rebordes, exacto, Juan Pablo Borja, acá, disculpa, no sos Voces Rebordes, no da para más esto, y acá, acá los agoveros, hay quinientas, veintiocho personas que saben que ustedes lo intentaron, que no fue su culpa,
415880	429660	acá cuando corten, mira, basta, basta, se acabó, así termina, se paran y dicen, basta, vienen acá a maga, basta, soy un agovero, dice, basta, vienen acá, ya está, ya está, y acá todos vamos a entender,
429660	448560	y sí, bueno, era así, todos entendieron, vos lo intentaste, vos lo intentaste, pero no va para más, no va para más, esa es la condición de partida, al menos del maga de hoy, que como siempre, como siempre, nos trae temas acuciantes, nos trae temas elementales,
449060	471680	por empezar, este va a ser el último maga antes de las elecciones, vamos a votar, por empezar, tenemos ahí a Mickey Luzardi, mira vos, aparecen, aparecen los directivos de esta radio, no lo puedo creer, vienen, que ven, habilitemos una micrófono, siguen a participar, si quieren también, talas subos por ahí, vengan quienes quieran, vengan quienes quieran, está diciendo,
473200	496800	este va a ser el último programa antes de las elecciones, con todo lo que eso significa, con todas las dudas que hay al respecto, este programa es el primero después de lo que pasó los hechos de público conocimiento del día de ayer, todos sabemos que el día de ayer es el maracagazo histórico, el maracagazo, así lo dice la gente, el maracagazo,
497420	512180	yo como un profesional de la comunicación y de la verdad, me he puesto en contacto directo con autoridades brasileñas, que es lo que obviamente alguien tenía que hacer, yo avancé con eso, lo hice ¿por qué? por ustedes, para descubrir las máximas verdades al alcance y a disposición de la mano,
