start	end	text
0	3600	Tus sedes queridos te están esperando. Si tomaste, no manejes.
3900	7000	Soy Diego Molina de Conduciendo Consciencia para Nacional Rondo.
8440	11260	Yo me comprometo con la vida.
14460	19080	Cuando nos abandonamos a la música, todo tiene sentido.
24380	25400	Tiene sentido.
33840	34440	Nacional.
38660	39260	Nacional.
39560	40020	Nacional Rock.
40720	42420	Hay campan, hay vino, vino.
44240	46020	Sobre las cartas de la mesa.
46540	48260	¿Para qué cazó estos pájaros?
48380	48540	¿Para qué?
48540	52820	Hay que tener una jaula, un ablido y ese.
55800	58980	El problema es que la deuda es como la faropa.
58980	62320	Al principio es rica, pero después te mata.
63200	63860	¿Vos sabés que sí?
64480	65260	¿Vos sabés que sí?
66720	67740	¿Vos sabés que sí?
67740	71100	Si esta copa es de leche, te la tomaste toda.
71440	73980	Te la tomaste toda, chingüengüencha.
74080	75700	No sabes ni hablar, brutos.
75940	77080	Váyale a estudiar.
77460	81460	Acaba de cortar la medicina porque metiste un cuchillo y después quedaste en mi cama, loca.
81680	82680	Ah, bueno, no me importa.
83240	84080	Ay, nada más que molino.
90460	92940	Ah, perfect.
94160	96980	My life, my everything.
99820	104460	And the answer to all my dreams.
107000	109920	You're my sun, my moon.
111580	112980	My guiding star.
115480	117260	My kind of wonderful.
119080	120980	That's what you are.
121960	124100	¿Cómo estábamos, compatriotas?
124580	125300	Campeones.
126080	127840	Campeones de América.
128400	130600	¿Cómo está MAGA?
131400	133720	¿Cómo estábamos, compatriotas?
135240	139900	No pensé honestamente en el resto del programa con el cuadro, pero lo único que importaba era la entrada.
140560	141700	Lo vamos a resolver.
142060	147220	¿Cómo resolvemos cada obstáculo que se pone frente a nosotros?
147220	149480	¿Me hacen señas de que estoy gritando?
149480	150760	¡Claro que estoy gritando!
151300	152780	¡Claro que estoy gritando!
153040	154760	Porque somos campeones.
155140	156760	Estamos cambiando la realidad.
157160	158820	Estamos prefigurando el mundo.
160420	161440	¿Compatriotas?
163880	165780	¿Copas sin MAGA?
166560	167580	Cero.
167900	169260	¿Copas con MAGA?
169960	170480	Una.
171460	172260	¿Ciencia?
172840	173480	¿Datos?
174180	175100	¿Empiria?
175100	179220	Estoy acá escoltado por la escaloneta.
180180	184620	Máxima expresión de nuestro ascenso nacional.
185960	189780	Tengo también la escaloneta física.
191540	193160	Contenido exclusivo para Twitch.
193820	194900	Que asciende.
195160	197000	Asciende al infinito.
197860	200920	¿Cómo están campeones de América?
201340	202840	Se saludaron así durante todo el día, ¿no?
202840	205100	¿Cómo está campeón?
205100	206300	¿Cómo está usted campeón?
206700	208540	¿Cómo lo trata usted la campeona?
208580	209040	¡Campión!
211080	213360	Gracias por estar acá.
213480	215100	Más de mil personas en Twitch.
215720	219240	Más de mil personas enchufadas al estado nacional.
220160	221240	Viendo MAGA.
221300	221920	¿Para qué?
222300	223440	Con un único objetivo.
223840	226580	Hacer a la Argentina grande otra vez.
226980	228760	No hay ningún récord.
228960	230440	No hay ningún parámetro.
230440	234800	Con el cual un programa estatal haya logrado tanto en tan poco.
235400	236360	Tanto en tan poco.
237100	238080	Primera reivindicación.
238740	239560	Tenemos Twitch.
240160	241340	Tenemos Twitch.
241560	242360	Segunda reivindicación.
