start	end	text
0	1860	Vos sabés que sí, vos sabés que sí
1860	6100	Atentis, ya está comenzando Caricias Reperfiladas
6100	11000	El descorche precoz de la fiesta oficialista
12180	13140	¡Epa!
23400	27020	Retumba dentro del vasito como en Jurassic Park
27020	30180	Algo se acerca, te apuras
30180	32500	Corres para volver del chino
32500	35280	Lavarte las manos, airear los ambientes
35280	37800	El suelo tiembla
37800	39820	A la distancia un gorila llora
39820	41960	Te dispones a salir al balcón
41960	43620	Dedos en B en alto
43620	46800	Y gritás con todas tus fuerzas para que te escuche
46800	49180	¡Feliz cumpleaños, señor presidente!
50740	53520	En medio de la avenida se alza una figura monumental
53520	55560	Cual Doctor Manhattan
55560	57000	Resolviendo la guerra
57000	59080	Resolviendo ucrónicamente la guerra de Vietnam
59080	63380	Un monumental Alberto Fernández Leviathanizado
63380	65080	Se desplaza por la ciudad
65080	66420	Señalando pelotudos
66420	68740	Y fulminándolos al instante
70020	72800	Escoltado por escandalosos helicópteros
72800	75060	Comprados con vallas a ver qué presupuesto
75060	77700	Y concentrando la suma del poder público
77700	79440	A través del tiránico voto popular
79440	82000	Las tropas terrestres de Alberto avanzan
82520	84720	Sobre tu derecho humano de hacer crossfit
86000	86980	Yo sé
87000	88260	Sabía que venían por todo
88260	89000	Pensás
89000	91480	No les alcanzó con casa tomada
91480	93500	Ahora es mundo tomado
93500	95560	Pero no van a detenerte
96320	97000	Hábilmente
97000	100020	Después de cumplir con el aplauso reglamentario
100020	103040	Agarrás tu cacerola insurreccional
103040	104480	Y salís al balcón
104480	107160	Ahora va a ver quién manda
107160	112340	El horario de 21 a 31 a 21 a 37 es tuyo
112340	114800	Después se cacerolea por el final del host
114800	116200	Y de 22 a 23
116200	118800	Se disputa entre la memoria de Nisman
118800	121260	Y el tortugo George de Galápagos
122220	125520	La realidad se ha vuelto insoportable
125520	128020	Detestás a este estado totalitario
128020	130040	Que te restringe y desearía ser más libre
130040	133060	Como en Ecuador, Brasil o Estados Unidos
133060	135200	Estás tan de mal humor
135200	137460	Que ni siquiera un video de pseudo famosos
137460	140620	Cantando Supón te da esperanzas
141380	143160	Pero entonces recordás
143160	144860	Algo viene a vos
144860	146180	Bajás la caceta de la caca
146180	146800	Y pensás
146800	147880	¿Qué día es?
148120	149460	¿Qué hora es?
149620	151100	Revolvés tu madriguera
151100	152540	Buscando con desesperación
152540	155180	Ese objeto antiguo que llamaban reloj
155180	158600	Corrés a poner la 107.3
158600	160620	O quizás a darle play a Spotify
160620	162240	Porque sabés que no importa
162240	164320	Qué tan catastrófico sea el panorama
164320	165960	Qué tan terrible el mundo
165960	167580	Qué tan horripilante la realidad
167580	168720	Del otro lado
168720	169680	Siempre
169680	170960	Siempre
170960	173060	Habrán unas caricias esperándote
173060	175560	Porque como dijo el Papa
176180	177240	Nadie se salva solo
177240	179260	Pero lo que no dijo es que nadie
179260	181560	Tampoco enloquece solo
181560	185620	Hoy las caricias son policiales
195400	197900	Yo siento que estamos luchando
197900	199020	Contra un enemigo invisible
199820	201100	Que de repente
201100	203200	Anida en alguno de nosotros
203200	205080	Y nos convierte a nosotros
205080	206160	En enfermos
206180	207940	Y en portadores
207940	210520	Del enemigo
212020	214560	Y que el modo solidario
214560	215800	Es cuidarnos nosotros
215800	217720	Para cuidar a los otros
217720	219200	Y en esto
219200	221480	Voy a ser inflexible
221480	224020	Los que tengan que hacer la cuarentena
224020	225680	Van a cumplir la cuarentena
225680	226880	Y si no la cumplen
226880	229980	Vamos a ocuparnos de perseguir los penalistas
229980	232160	Y lo que tienen que entender todos
232160	233480	Es que la soberbia
233480	234900	De un tonto
234900	236160	No va a poner en peligro a nadie
236180	236520	Pero a la Argentina
236520	238360	Javi, vengo de vacaciones, querida
238360	239420	Vos no te vas de vacaciones
239420	240800	A Miami te vas de vacaciones
240800	241860	Yo no me puedo ir a Miami
241860	243160	Me tengo que tomar el laute
243160	245060	Y irme de vacaciones acá a Brasil
245980	247980	La Argentina de los vivos se terminó
247980	252640	Yo aviso para que nadie se pase de vivo
252640	254420	La Argentina de los vivos se terminó
278760	288000	La Argentina de los vivos se terminó
296180	297720	Porque soy evidentemente el único
297720	299180	Al que le importa a la gente de verdad
299180	302260	Vos tenés una sección en la cual te vanagloriás
302260	303400	De hablar por la gente
303400	304700	Hablar con ellos, para ellos
304700	307080	Pero el único que deja el cuero por caricia
307080	307600	Soy yo
307600	310600	Y como lo dije desde el primer día de cuarentena
310600	312240	Si hay estado de sitio
312240	313960	Yo voy a estar acá igual
314660	316460	Igual, no me importa nada
316460	317140	Cristian
317740	319960	Tienes una actitud, Tomás Rebor
319960	322700	Muy positiva, muy ciudadana
322700	324560	Estar incitando a la gente a que rompa
324560	325920	Su cuarentena como lo estás haciendo
326180	328580	La sección de caricias y la gente
328580	330660	La verdad que cada vez da más alegrías
330660	332620	Te quiero comentar que hay un nuevo
333160	335360	Récord de mails en caricias y la gente
335360	336960	La verdad que el equipo interdisciplinario
336960	338720	Que la lleva adelante no da abasto
338720	340380	Y agradece, y han pedido
340380	341980	Que nos quedemos en nuestras casas
341980	343020	Así que me parece que estamos
343860	346400	Llevando a cabo el orden normal de las cosas
346400	347640	Cada uno desde su casa
347640	349480	Y vos ahí en el piso, como siempre
349480	352340	Dejando la vida por caricias, Cristian
352340	354120	Igual, permitime corregirte
354120	356160	De ninguna manera estoy intimando
356180	358080	A la población a romper la cuarentena
358080	360020	Soy un comunicador social muy responsable
360020	361680	Yo lo único de lo que me hago cargo
361680	363420	Es de nuestra función social
363420	365200	Reconocida en un decreto presidencial
365200	367480	Somos un servicio esencial, Cristian
367480	369420	Pasa que ustedes no lo quieren reconocer
369420	370660	Es un problema, viste
370660	373640	El servicio esencial va a seguir saliendo al aire
373640	375600	Como siempre, Rebor, en eso la verdad
375600	377460	Que creo que es nuestro único
377460	379900	Punto de contacto y lo vamos a
379900	380800	Seguir manteniendo
380800	383660	Está también, de algún modo, en su casa
383660	385080	Luchando contra la tecnología
386180	388040	En el piso, estarás intercambiando
388040	389880	Información con nuestro productor
389880	391880	Juan Rufo, y sabiendo si
391880	393960	Elisa de verdad va a poder estar
393960	395880	Con nosotros en su voz
395880	397920	O si solo vamos a tener su espíritu
397920	399240	Deseándonos buenas vibras, Rebor
399240	401480	Mira, por lo pronto, hasta donde entiendo, es espíritu
401480	404000	Que es suficiente, igual lo acabo de chequear
404000	405700	Y es suficiente para el pisito feminista
405700	407780	Digo, si hay espíritu de Elisa, es como que vale igual
408720	409600	Fuera de eso
409600	411440	Lo que sí tengo para decir es que
411440	414100	No te creas que por estar en el piso estoy mucho más conectado
414100	416160	O sea, la situación en el piso
416180	418120	Ahora es muy parecida a un cuadro
418120	419260	De esquizofrenia clásico
419260	421840	Yo soy una persona completamente sola
422800	424180	Hablando con voces
424180	425400	Con personas que no están ahí
425400	427980	No entiendo el entorno, del otro lado de la pecera veo gente
427980	430480	Que se mueve, o sea, probablemente intentando resolver problemas técnicos
430480	432240	El chino tomala con los ojos inyectados
432240	434140	En sangre, después de 76
434140	435060	Horas sin dormir
435060	437520	Y no es que tengo más claridad, en realidad
437520	439600	Viniendo al piso soy quizás el más
439600	440760	Aislado de los tres
440760	443840	Uf, un buen pitido ahí que me largaron de conexión
443840	445620	Faltaría un ruido de modem
446640	448640	Una cosa así como para ponernos bien
448640	450340	Noventistas y que esto salga
450340	452700	Profundamente, todo lo mal que puede salir
452700	454460	Me parece que sería una buena
454460	455940	Consigna para que Caricias lo haga
455940	457580	O sea, correr todos los aspectos
457580	459020	Lo que pasa es que Telegram es solamente
460800	462060	Mirá esa entrada
463160	464280	Mirá esa entrada
465900	468080	Lo que pasa es que Telegram
470580	472100	No andaba en la compu
472100	473480	Mirá, la voz de
473480	475540	Quiero comentar que la voz de Elisa
476220	477920	Resuena, me retumba como si fuese
477920	479860	Zordon en los Power Rangers
479860	481820	¿Entendés? O sea, Elisa me habla
481820	484240	En estéreo, o sea, me revienta la cabeza
484240	486060	Y Cristian se escucha
486060	488140	O sea, no sé, en un samba
488140	490080	O sea, Cristian en un samba, Elisa Zordon
490080	491740	Y yo solo gritando al aire
492460	494160	Hay que poner de manifiesto
494160	495920	Rebord, los nuevos problemas
495920	498180	Que surgen con la creación de la sociedad
498180	498880	Topo, ¿verdad?
499000	502060	Eso, eso, eso
502980	504380	¿Qué es lo que está pasando ahí atrás?
504520	506160	¿Alguien me... perdón, alguien me explica?
506180	507740	Rufo, ¿qué está haciendo?
507900	509120	¿Está peleando?
509200	510480	Sí, hola, ¿qué tal? Buenas noches
510480	514820	Lo que escucharon de Elisa recién fue un audio que me estaba grabando a mí
514820	515400	Ok
515840	518140	¿Pero vos qué estás produciendo, Rufo? ¿A vos no te da vergüenza?
518140	519520	Yo nunca trabajé así en mi vida, hermano
519520	519980	¿Qué es esto?
520260	521400	Yo estoy más estresado
524420	525800	Che, la imagen de Rufo
525800	528100	Dale, dale, hagamos el programa en remoto que está buenísimo
528100	529520	La imagen de Rufo es un tipo
529520	531360	Completamente transpirado, chivado
531360	532960	Entrando y saliendo de lugares
533500	535200	Tomando celulares en el aire y llamando
536180	537720	O sea, está peleando con gente invisible
537720	539000	Está peleando con el coronavirus
