start	end	text
580	2640	Hay pan, pan, hay vino, vino
4120	6120	Sobre las cartas de la mesa
6120	8340	¿Para qué cazó a esos pájaros?
8520	8800	¿Para qué?
8900	13000	Hay que tener una jaula, un ablido y ese...
16100	19200	El problema es que la deuda es como la faropa
19200	22620	Al principio es rica, pero después te mata
22620	26000	Vos sabés que sí, vos sabés que sí
26760	27920	Vos sabés que sí
27920	31260	Si esta copa es de leche, te la tomaste toda
31260	34140	Te la tomaste toda, chingüengüencha
34140	35900	No sabe ni hablar, brutos
35900	37340	Vaya a estudiar
37340	40240	Acaba de cortar la medicina porque pensé que era un cuchillo
40240	41660	y que puede quedar entre su cara, loca
41660	43080	Ah, bueno, no me importa
43080	44340	Hay algo que molí
55080	58120	¿Cómo andan, estimadísimos compatriotas?
58200	60740	¿Cómo andan, papaeldos?
61120	64440	¿Cómo andan, smerthings?
65020	66080	¿Esmarldos?
66580	68480	¿Papaeldos Huxleys?
69280	71140	¿Esmerthings with machine?
71140	72960	¿Cómo andan, gente?
74520	75560	Felices, felices
76860	80200	¿Cómo está este encuentro de lunes?
82220	85140	Yo también te amo, Fonsi
86140	89120	Juan Pitorrico, grande pelado, grande voz también
89120	91840	Juan Pitorrico
91840	94140	La otra vez me lo aclararon como 4 millones de veces
94140	95320	como si no me diera cuenta
95320	99880	¿Pero cuál es el problema con que alguien sea Juan Pitorrico?
99880	101140	¿Cuál es el problema?
101320	103460	¿No lo podemos saludar al resto de los agoveros?
104040	105200	Yo también te amo
105880	108000	Y no tengo dramas con tu nombre, boludo
108000	110340	Que es, obviamente, tu nombre real
110880	112900	¿Sabes lo que sufre Juan Pitorrico?
113400	115540	Cuando tiene que hablar en lugar y dice, ah, esto es una joda
115540	118280	Y Juan Pitorrico está en la casa, así, llorando
118280	121920	Tipo, yo siempre quiero mandar saludos y no...
121920	123060	Nadie me saluda
123060	124680	Todos creen que lo estoy jodiendo
124680	126500	Es terrible, es un gran flagelo
126500	129200	Pero acá, acá es bienvenido
129200	130220	¿Cómo son bienvenidos?
130400	131100	Todos, todos, ¿quiénes?
131100	133260	Ya saben, ¿quiénes son bienvenidos acá?
133940	137440	Todo aquel que quiera hacer a la Argentina grande otra vez
137440	139000	Extremadamente simple
139000	142320	Permítanme decirles, permítanme decirles
142320	144680	Papael dos Huxleys
144680	145660	Que no llegó
146560	147680	No llegó
147680	150500	Me di cuenta, me di cuenta de eso haciendo unos cálculos
150500	154200	Hoy, viste, como calculando, diciembre, viste
154760	158060	Porque ya la semana pasada hablábamos, no, qué cansancio
158060	159300	Viste, qué difícil que está este año
159300	160800	Yo hoy me di cuenta
160800	161620	No llegó
161620	163740	O sea, no llegó en serio, ¿entendés?
163740	165500	No me dan los números, no...
165500	167400	No llegó, no llegó
167400	168160	Estaba, ¿sabés?
168160	171320	Me hizo acordar una anécdota con mi tío
171320	173540	Un tío muy influyente en mi vida
173540	175200	Con quien ya no tengo relación
175200	177180	Por distintos problemas familiares
177180	179260	Problemas familiares, titulares
179260	182280	Y una vez estábamos en la ruta con mi tío
182280	184260	Con un auto medio de mierda
184260	186020	Y la propuesta, creo que...
186020	188160	Me acabo de dar cuenta, fue mi personal
188160	189860	Si nos matamos, nos matamos
