start	end	text
6160	10000	La pelota lo... la pelota lo se mancha.
13580	17780	Se van a remontar a la distratófera.
18060	19520	Usted tiene que arrepentirse de lo que dijo.
20080	22340	Usted sí tiene que arrepentirse, porque yo no hice nada de eso.
22360	24480	Ay, si querés llorar, llora, papi, papi, por favor.
24700	25100	¡No, no!
25620	26980	¡A la vez!
26980	29980	No soy diputado, hermano.
30860	32520	Es solamente que tenga temor a Dios.
33360	35140	Y a mí, en todo caso, también un poquito.
35360	36940	¡Pará, pará, pará, pará, pará!
37520	38980	Con 15 pesos me hago alto guiso.
53780	56380	¡Cómo andan, compatriotas!
57500	59700	¡Cómo andan, papaeldos!
60920	62180	¿Cómo les va?
64920	65920	Estimadísimos papaeldolarpios.
66560	67420	¿Cómo están?
68080	69280	¿Cómo están en este día?
69720	71940	Tan maravilloso este escándalo.
72140	73900	Mirá lo que es, mirá lo que es este Twitch.
73960	74500	¿Qué es esto?
75780	78080	1400 personas, 1400 personas.
78320	79560	¿Saben lo que pienso de eso?
79860	81680	Pienso que es una vergüenza.
81760	83300	Ya saben lo que pienso de eso.
84480	88780	1400 personas deberíamos ser 15 veces más.
88860	91180	¡15 veces más deberíamos ser!
91500	94520	Más, más, en un día como hoy.
94840	97960	Un día, un día donde tuvimos un evento,
100180	103680	evento metafísico nivel 5.
104120	106280	Calamidad en la mística.
106580	108640	Rompe todas las escalas.
108720	111800	Días como estos son extremadamente excepcionales.
111800	115640	Cuando suceden estas cosas que alteran el mundo,
116060	118640	que ponen un freno, que ponen un hiato,
119100	120300	un hiato,
121380	124020	ponen un hiato en la continuidad narrativa
124020	125060	de lo que está pasando,
125680	127660	la gente tiene que venir corriendo,
127860	130060	corriendo al templo de Maga,
130340	131900	al mausoleo de verdades.
132160	133540	Yo sé que muchos de ustedes lo vieron,
133660	135240	lo observaron y dijeron,
135340	139820	loco, quiero Maga ya, ya.
139820	141960	Y quiero escucharlos, ¿eh?
142340	146140	11-39-39-88-88.
146300	149120	Hoy el temario, ya les dije, es a libro cerrado.
149180	151740	Me chupa un huevo lo que quieran hablar ustedes en este caso,
152260	154660	porque yo quiero hablar de esto y esto merece
154660	157600	unos niveles de análisis metafísico, por supuesto.
157720	159740	Después ya hay otros medios y otros lugares
159740	162100	que cubren el resto de análisis de las cosas, ¿no?
162560	164680	Hay otros lugares que ya se ocupan
165160	168280	de evaluar la moralidad, de la justeza de las acciones.
169460	172600	Acá, acá tenemos otra perspectiva diferente de la vida.
173200	175720	Acá tenemos una perspectiva celebratoria de las cosas
175720	178020	y hay gente que eso lo mal interpreta, ¿no?
178020	179620	Hay gente que cree que esto es una visión,
179680	180860	una suerte de cinismo,
181200	182400	una cosa donde no te importa nada,
182620	183620	es todo lo contrario.
183960	186580	Nos importa todo, nos importa todo tanto
186580	188640	que estamos preservando la humanidad.
188720	190760	Es un acto de heroísmo escuchar este programa.
191900	193780	Como sabrán, uno de los programas más escuchados
193780	195280	es la radiofonía argentina, la vídeo de radiofonía.
195480	198480	Dos de cada ocho personas escuchan Maga.
198580	199420	Yo ya se los comenté esto.
199520	201500	No sé si lo probaron en alguna reunión social hasta ahora.
201720	203380	No sé si se juntaron y contaron y dijeron,
203440	206220	ah, bueno, somos ocho, dos estamos cubiertos, ¿eh?
207940	209460	Estimados Papael, dos días...
209460	210840	También con algunos anuncios,
211000	213640	he anunciado formalmente junto a Corta,
213760	214640	vuelve el método.
215900	217920	Algunos de ustedes se pusieron nerviosos.
218280	219480	Instantáneamente me quisieron preguntar, ¿cuándo?
220400	223480	Pero, ¿cuándo? ¿Cuándo? Mirá, hermano, mirá.
223480	227660	El método lo que quiere que sepas ahora es que vuelve.
228480	229760	Y ya vas a tener más información
229760	231760	cuando sea necesario, cuando puedas administrarla.
231980	234040	Vos sabés que el método no te da lo que querés ver.
234360	236200	El método te da lo que necesitas ver.
236920	239720	Y no sé si están dimensionando...
239720	242840	No están dimensionando lo que estoy armando para ustedes, ¿eh?
243500	245380	Yo les voy a romper la cabeza.
246200	249620	Voy a estallar su concepción de la realidad.
