start	end	text
6740	13000	¡Sí, señores! ¿Cómo andan, estimadísimos? Repapaeldo, ¿cómo andan? Tanto tiempo,
13280	18880	tanto tiempo sin maga. El lunes pasado hubo un montón de gente sin ola de aplausos,
18960	24400	hubo suicidios, hubo un montón de agoveros y agoveras que no resistieron. Eso denota
24400	29960	el grado de carga pública que tiene hacer maga, ¿no? Agarrar y decir, si no haces maga,
30240	34740	cosas terribles suceden. Sí, pero hay veces que no se puede hacer. Y de todas formas,
35120	38480	ahí están los agoveros y los agoveros que sobrevivieron están acá de vuelta,
38820	43900	estoy viendo acá. ¿Cómo los extrañé? ¿Cómo los extrañé? Tanto tiempo sin verlos. ¿Cuánta
43900	48280	gente hay en vivo? A ver, no me figura acá, no tengo. A ver, ¿Junglemen? ¿Me cantas de stats?
48900	56040	Sí, cantame de stats, Junglemen. A ver, actualízame, Junglemen, para que pongo chat en vivo,
56180	61960	esto comenzó a ser acá. Hay unas 1.300 personas en vivo, espectacular. Los fieles,
62860	70060	los fieles agoveros, el pueblo fremen agovero, los que habitamos el desierto, los agoveros que
70060	76320	estuvimos antes, durante y seguiremos estando. Los agoveros que hacen, que garantizan ese núcleo
76380	83060	que sostiene todo el resto de las cosas. Bienvenidos y bienvenidas agoveros y agoveras,
83280	92380	vamos a hacer como hacía tanta falta una primera ronda de aplausos. Gracias, gracias por estar acá,
92700	98000	gracias por estar aplaudiendo en sus casas, gracias por bancar este momento, gracias por venir lunes
98000	104100	a lunes y por proponer temas, por detectar qué está pasando. Por supuesto, hace mucho que no
104400	111800	hablamos, hace como claro que llevamos 14 días sin reportes de ciencia y verdad. 14 días es mucho
111800	117680	tiempo, para la República Argentina son algo así como dos meses y medio, tres meses, así que tenemos
117680	122800	un poco una multiplicidad de temas para hablar. Yo recién estaba preguntando a través de la red de
122800	128020	redes, a través de las redes sociales, de qué querían hablar y ha surgido un poco de todo. Hay
128020	133280	algunos temas que quizás hay que descartar más o menos rápido. Final de la Champions, podemos
133280	138960	hacer esto rápido, o sea podemos descartarlo como lo haría un profesional. No hay nada ahí. Final
138960	144840	de la Champions, la verdad que todos la vimos, todos esperábamos algo ahí y no hay nada ahí.
144960	149200	O sea realmente realmente no hubo, alguien no está de acuerdo, alguien no está de acuerdo con
149200	161660	esta afirmación. Me parece que podemos decir con certeza NHA, no hay, ah no no, no hay nada ahí,
161660	167600	ahí está, bien, N-H-N-A, no hay nada ahí, cuando no hay nada ahí no hay que ponerse loco. Acá me
167600	174600	dicen acá, Hernando Toro dice Mistborn o Dune. Me gusta, me gusta para entrar en ese tema. Voy a
174600	179380	reservarlo, voy a ponerle un tilde a ese tema, voy a reservarlo. Me estoy dando cuenta que solemos
179380	186120	tener cortinas para basketball, para footboard, pero no tenemos para nerdboard, o sea no, si
186120	191200	queremos hablar de Dune o Mistborn no tenemos con qué darle a eso, o sea no tenemos un marco,
191200	195760	pero creo que podemos encontrarlo estéticamente en algún lugar. Ese tema acá lo vamos a tratar,
195880	204720	hoy lo trataremos. Como sabrán fui para Rosario, vengo de Rosario, la pasé espectacular, fue un
204720	209260	evento del re carajo, la verdad que el público rosarino fue hermoso. Desde la última vez que
209260	220560	hablamos cumplí dos sueños. Este es el bloque hablar de mí, de mis cosas, de quién soy. Dos
220560	228140	no sé si vieron la magnífica nota que di con Luis Novarecio, se las recomiendo. Les recomiendo
228140	233960	una nota a mí mismo en el canal La Nación Más, si la quieren ver. Grandes reproducciones. Quiero
233960	240060	felicitar a los agoveros y agoveras, porque subieron una versión, la reventamos, la bajaron
240060	246780	y subieron otra. O sea, estamos teniendo récord de vistas en La Nación Más, incluso con versión
246780	253720	bajada. Es como, you can't stop de agoverismo, no lo puedes detener. Así que les quiero agradecer
253720	261100	por ir a cargar de vistas esa entrevista, esa nota. Y principalmente, aparte viste que no está mal
261100	268120	esto, esto es algo de lo cual hay que hablar. Hoy por hoy es muy difícil medir el valor de las cosas,
268560	273080	la medida de las cosas, no voy a decir el valor, la medida es un tiempo difícil para medir en general,
273080	277980	porque los instrumentos de medición están rotos. La mayoría de cosas que usamos para medir ya no
277980	285980	aplican. Entonces hay una suerte de reino entre posmoderno y relativista, en la cual nadie sabe
285980	290480	cuánto mide algo. Si algo es popular, no es popular, si es de nichos, si no es de nichos,
