start	end	text
1920	9200	Feliz lunes, hijos de una gran puta, estoy acá el día que te rompe el culo, estoy acá
9200	16040	con ustedes, esto no es Maga, esto es Maga Garca, Magarca como quieran llamarlo, no soy
16040	22560	el Doble Reward, no soy Arjón, hijo de puta, no soy Jason Mamua, no soy el Tragacele de
22560	30060	La Luma, estoy acá para arrancar este programa muy especial y bueno, espero que arranque
30060	36040	la semana con la chota bien dura porque esto es Maga y ZAPE.
37240	43560	Antes que nada les quiero agradecer a las loquitas, los agoveros bananeros que la verdad
43560	50680	me estuvieron dejando la cola como un colibrí picoteándomela, estoy muy agradecido por
50680	56080	todo su apoyo, como me apoya constantemente, yo no tengo Twitter pero me avisan, me gusta
56080	61760	el Zoom In y el Zoom Out, me gusta como entra y sale la cámara y la verdad me deja como
61760	74120	loquita y bueno, acá tengo varias... no sé si se ve, la verdad vine a hacer algo, mi
74320	80920	pedazo, Tomás está bien gastando todos los impuestos, toda la plata que todo el mundo
80920	85580	le está dejando, así que yo estoy acá para cubrirlo un poco, él ya está por venir,
86100	90400	está haciendo planes, creo que más adelante nos vamos a ver en algún viaje tropical,
90760	98740	vamos a ir a entangarnos, ensungarnos y pasarla bien. Dicen que somos como, tenemos un parentesco,
98740	104540	yo no sé como que él es el bananero con el pelo corto, yo soy el coso con sobrepeso
104540	110060	y pelo largo, pero bueno, sea lo que sea, estoy acá, aguante maga y tu hermana se la
110060	119680	traga, una poesía. Para que estoy entrando un poco en calor y me voy a servir un poquito
119680	134800	de un trago, para qué, me voy a sacar esto. He notado que hubieron muchas afecciones de
134800	139680	cariño con sonrisas verticales para vos, para no decir que te han mostrado el ojete,
139960	146080	digo como, no sé si es como algo un stand político, qué es lo que significa en realidad,
146080	153520	pero bueno, un ojete merece ser visto y un ojete tiene muchas cosas para decir, así que brindo
153520	158520	por todos ustedes, hay que arrancar la semana bien, los días de la semana son una construcción
158520	176040	social, así que ¡salute! Bueno, para qué me está comiendo trapo esto. De verdad, estoy muy
176040	183940	contento de estar acá y quisiera anunciar algunas fechas que va a tener mi amigazo Tomás, que la
183940	189200	compiendo, la va a andar por todas partes, 21 de septiembre va a estar en la plata, como la plata
189200	196020	que le está entrando por todos los impuestos, 7 de octubre, Comodoro en Rivadavia, que es donde
196020	202060	va a buscar la merluza, me dijeron que muy bien, 27 de octubre, Mar del Plata, más plata ahí,
203040	210140	también es un lugar excelente para ir a gastar la plata de los impuestos, 8 de noviembre Tucumán,
210140	216080	le mando saludos a un tío amigo que vive ahí, lo echaron de la familia porque era medio degenerado,
216280	225560	pero bien, 22 de noviembre Uruguay, donde mi madre es patria, así que perdón, y 4 de diciembre Gran
225560	233500	Rex, qué forma de liquidar, la gira bien arriba, la frutilla sobre la torta, el bucaque artístico,
233500	240520	la consagración, y bueno, la verdad, estoy muy contento que me hayan dado este espacio para
241920	246620	presentar y colaborar con toda esta hermosa gente acá, y voy a hacer el último anuncio,
247740	253540	que en representación del Estado Argentino, Tomás va a ir a Disney y estará conmigo en Miami,
254620	259640	viviendo aventuras, como le decía, vamos a entangarnos y disfrutar del calor, tomar
259640	264920	coronas CDT en la playa, no sé si agarrándonos de la mano porque eso ya es ultra mega CDT,
265820	275440	así que gracias Turismo City, y a sus impuestos, así que gracias a toda la gente que está acá
276140	285320	apoyando Maga, todos los agoveros, le mando un beso en la sin hueso, y quédense que ahora
285320	290820	hacemos más Magarca o Magagarca, me chupa la pija, sabe.
297100	301380	Estás escuchando Maga por Nacional Rock.
337660	341360	Nuevamente, bienvenidos, bienvenidas, decíme loco Santi si tenemos cámara,
341360	347380	porque no me estoy observando en este momento, estamos con mi amigo Mirá, mira lo que es esto,
348780	352800	estamos uniformados, estamos de azul los dos, como loquitas, mira lo que es este espadeo
352800	361300	micrófono, cuidado, mira lo que es esto, todo con él iba papá, bienvenidos y bienvenidas a este
363840	368420	programa, el espadeo con micrófono surgió acá, surga aquí la magia, nunca lo había visto,
368980	373680	creo que sólo se da porque tenés la mente perturbada por mi presencia, pero porque somos
373680	377780	generaciones que nos hemos formado con tus vídeos, vos fuiste mi ESI, o sea después vinieron las
377780	383460	discusiones más deformativas en el colegio, nosotros teníamos Harry el sucio Potter para
383460	390040	entender qué nos estaba pasando, y es la primera vez que se hace un espadeo micrófono en vivo,
