start	end	text
6080	11480	¡Abríguenos más, abríguenos más! Me sigue dando risa el contraste con la música. No copyright.
12060	16480	No puedo, o sea, hay una porción de mi cerebro que sigue esperando el otro sonido y entra en...
19400	25020	¡Ajá! ¡Ay, cierto que esto es mejor! ¡Cierto que esto nos gusta más!
25020	29840	¿Cómo están, compatriotas? ¿Cómo andan? Nos dicen acá, arrancamos un poquito tarde,
29880	35860	pero no importa. Después nos extendemos unos minutillos. Todo es charlable, todo es negociable
35860	41200	cuando se está haciendo en la Argentina grande otra vez. Y Maxi me trae una fabulosa taza board
41200	46740	con la cual hidratarme. Taza board, esto no es un canje, es material original, ¿sí? Si quieren
46740	50840	hablar con taza boards pueden suscribirse al sistema Agobe, están las tazas de chicas sublime,
50840	56100	que hace esta voy a tomar un sorbo de agua, ¿sí? Y empezar este fabuloso programa junto a ustedes.
61300	67320	Estimadísimos compatriotas, ¿cómo están? Primero y principal, ¿cómo estoy yo? Estoy muy bien. Y
67320	73580	estoy tan bien que quiero arrancar este programa como corresponde. ¿Cómo corresponde? Con una ronda
73580	81240	de aplausos, una ronda de aplausos. ¿Y saben por qué? ¿Saben por qué? No es poca cosa comprometerse
81240	88500	a algo regularmente una vez por semana. No es poca cosa. ¿Saben que a medida que uno va envejeciendo,
89020	94740	va dándose cuenta que esos rituales, esos pequeños momentos donde uno dice, che, a tal hora,
94860	101480	tal día yo hago esto, por lo menos para mí son increíblemente importantes para las psiquis. Y yo
101480	105440	creo que ahí hay un secreto en la mayoría de las cosas que uno disfruta, los rituales de la vida,
105620	110120	los rituales de pasaje, los rituales de las cosas. Es lo mismo que cuando, por ejemplo,
110420	114740	¿saben cuál es uno de los grandes poderes del fútbol? Realmente, perdón que diga esto porque
114740	119860	es un poco de fútbol de mi parte, pero es cultural, es transversal. ¿Saben algo que pasa?
121540	126080	Hay pocas cosas en la vida que se van manteniendo de manera tan transversal a lo largo de tantos
126080	130920	años. Y cuando uno, por ejemplo, ve un partido de fútbol de su equipo, que también puedo hacer
130920	135860	un análisis ritual de por qué uno es de cada equipo, uno lo unge en un equipo cuando es pequeño
135860	139840	y todavía no entiende y empieza a formar su opinión. Pero de repente vos te volvés a encontrar
139840	148300	una y otra vez con una etapa de la vida en la cual decís que voy a estar haciendo esto por 120
148300	155240	minutos, por 90 minutos, 90 más entre tiempo. Es muy poderoso, es muy poderoso ir a la cancha,
155240	163800	es muy poderoso sentarse y agarrar y decir por un rato mi vida va a ser esto, voy a estar haciendo
