start	end	text
6060	10500	La pelota lo... la pelota lo se marcha.
10740	11720	¡Carajo, mierda!
12380	13180	¡Carajo, mierda!
13660	17640	Se van a remontar a la extraertófera.
17900	19380	Usted tiene que arrepentirse de lo que dijo.
19400	20140	No, no me voy a arrepentirse.
20180	22240	Usted sí tiene que arrepentirse, porque yo no hice nada de eso.
22260	24720	¡Ay, si querés llorar, llora, papi, papi! ¡Por favor, no!
26240	27040	¡Ay, papi!
28600	30040	Sin disputar, hermano.
30780	32340	Solamente que tenga temor a Dios.
33180	35000	Y a mí, en todo caso, también un poquito.
35400	36960	¡Pará, pará, pará, pará, pará!
37380	39340	Con 15 pesos me hago alto guiso.
49400	53960	¿Cómo están? Bienvenidos, bienvenidas, compatriotas, a otro MAGA.
53960	58180	Qué feliz, qué feliz que me hace hacer MAGA.
58260	62680	Tan feliz como Diana bailando en la cabina, nuestra operadora ahí tirando pasos.
62800	65960	Tan feliz como Maxi, ahí recibiendo sus audios, sus aportes.
66800	68380	Tan feliz como Flor también.
68540	72180	Flor Trevino, nuestra productora etérea, en este momento espectralmente presente.
72560	73880	Tan feliz como ustedes también.
74100	76800	Yo estaba viendo algo... esta es la primera vez que pasa.
77280	81360	Pero estaba viendo Twitter y había tweets pre-MAGA.
81360	84680	Había compatriotas que decían, arranca MAGA, arranca MAGA.
85420	87200	¡Impresionante! ¡Impresionante!
87580	88580	A mí también me hace feliz.
89020	92940	Hoy las ganas que tenía de hacer MAGA hoy, las ganas de encontrarnos,
93080	96540	de hablar de los temas acuciantes para nuestro suelo,
96880	99460	de mejorar este suelo, de mejorar este país
99460	101820	y de hablar de lo que se nos canta en las pelotas también, ¿viste?
101820	103440	Es algo que hoy me pasó eso.
103480	106360	Hoy me desperté y dije, qué bueno que hay MAGA.
107080	110720	Por favor, un espacio donde se es puro, se es genuino,
110720	114000	se es en un estado de absoluta naturaleza.
114620	115900	Eso es MAGA para mí.
116380	119220	Y también sé que es lo que ustedes esperan de MAGA.
119560	124880	Un espacio sin intermediarios, sin caretas, sin imposturas, sin nada,
125060	127440	sin ficción más allá de la que creemos.
128260	133060	Y efectivamente seguimos en tiempos hartos, ¿no?
134420	135720	Son tiempos de puteadas.
136960	138100	Todo te putea.
138100	141560	Todo. Todo está cansado, todo está harto, te peleas.
141700	144380	Te peleas en tu laburo, te peleas con amigos, te peleas con familia.
144640	148100	Todo es bardo porque hay un hastío generalizado
148100	150940	que está por fuera del gráfico, ¿sí?
150940	154100	El hastío se salió, en el gráfico está afuera, rompió el gráfico.
155900	159240	Entrás a Twitter, que igual obviamente es una red construida para putear,
159700	160820	pones hola y te putean.
161020	163460	¿Cómo vas a decir hola a la concha? ¿Cómo vas a saludar en este contexto?
163940	166040	Es así. Todo es hostil.
166040	168220	Todo es hostil salvo maga.
168480	170400	Un espacio de encuentro y de felicidad.
170740	174140	Donde debatimos cosas con otro ritmo, con otro tiempo, nuestro propio.
174520	178820	El tiempo que necesita el proyecto a largo plazo de nuestro suelo, ¿sí?
178820	180840	Porque nosotros, como la buena gobernanza,
181140	184020	no estamos siempre mirando el microclima de las discusiones
184020	185560	para decidir qué hacer, ¿sí?
186040	187020	¿Qué quiero decir con esto?
187720	193740	No se puede gobernar, no se puede conducir con un ojo en Twitter, ¿sí?
193740	198060	Hoy les voy a tirar, voy a arrancar con una máxima verdad rápido.
199060	205060	La opinión pública, la crítica, dícese, lo que quiere hacer es criticar.
205480	206740	No quiere decidir.
207540	208120	¿Entienden lo que digo?
208200	211480	O sea, la gente cuando putea, lo que quiere es putear.
212040	215000	Pero quieren putear sobre una acción, sobre una directriz dada.
215080	218780	Eso es lo que yo creo que confunde a veces mucho este propio gobierno, nuestro gobierno, ¿sí?
219080	222460	A veces confunde porque a veces se deja llevar un poco de más por la opinión.
222460	224460	Cuando quizás lo que no entiendes es que la opinión lo que quiere es putear.
225180	228280	La opinión quiere putear una decisión clara, ¿entendés?
228460	230880	Pero para eso necesitamos, para putear necesitamos una dirección clara,
230940	233020	sino ahí es donde nos centramos a matar entre todos.
233740	240080	De la misma forma, este programa es, propone y dispone, es performativo.
240660	242800	Con eso ustedes harán lo que se les cante en las pelotas.
243140	245920	Algunos lo celebrarán y otros se agarrarán y putearán.
246060	248420	¿Por qué financiamos esto con nuestros impuestos?
249360	250700	Así es gobernar.
250700	254140	Y esto es Maga, esto es un pequeño, un protestado,
254560	256940	un lugar donde nos encontramos de todos los rincones de la patria.
257040	261320	Ustedes ya saben, yo hoy quiero escucharlos y quiero que participen
261320	266060	porque va a ser un Maga, como les digo, propositivo y doctrinario.
266980	271520	Es un Maga que va, va, esto es, va a ser así como cuando uno,
271560	273700	cuando uno revise el Antiguo Testamento de Maga,
274580	278700	este tiene que estar ahí, digamos, es un starter pack de universo simbólico.
279480	282260	Vamos a abordar la definición de la máxima fineza.
282920	284700	¿Qué significa esto? ¿Qué es este concepto?
285600	288540	Y por supuesto va a ser una construcción colectiva, lo vamos a rastrear.
288660	292200	Vamos a indagar en sus apariciones en nuestra República Argentina o afuera también.
292760	295700	Y por eso quiero contar con ustedes, tanto en aportes aperceptivos
296340	299120	del orden de lo doctrinario, como también en anécdotas.
299140	301860	Uno puede decir, mira, yo me encontré con un estado de fineza acá.
302320	306800	¿Viste? Es la zarza ardiente en el desierto para Moisés.
306800	310620	Eso es, un hecho insigne, un arbusto que te habla.
311020	313060	¿Qué haces? Me está hablando un arbusto, boludo.
313720	315360	No podés ignorarlos, ¿entiende?
316020	322040	Son esos hechos que no admiten otra cosa que un posicionamiento hondo.
322340	324180	No podés serles indiferentes.
324560	328900	Y de eso se trata, y de eso se trata Maga, de lo inocultable.
329400	332860	De que todo acá lo ponemos bajo el reflector, no se esconde nada.
333220	335000	Acá no creemos en los carpetazos.
335000	339260	Acá todo, todo va al reflector, como sus audios.
339520	345440	11, 39, 39, 88, 88.
345940	347680	¿Sí? ¿Ya tenemos audio para pasar?
348000	351100	A ver, a ver, pasame un audio, sí, pasame un audio, de ahí.
351400	354400	Uh, te tiro un adoquín, te tiro un adoquín.
355080	355940	¿Tenemos algo ahí?
356120	357200	Vamos, Rebord.
357540	363280	Mira, dejé de mirar el programa de Cunio para escucharte a vos.
363280	367260	Así que necesito muchas puteadas, loco.
368980	371380	Esa es nuestra competencia hoy.
371920	374080	Es Cunio o Rebord, tenés que elegir.
374180	375560	La zarzardiente, ¿se entiende?
375700	377180	El arbusto está gritando y putea.
377500	378840	Y vos tenés que elegir.
379140	382620	Y hoy vamos a hablar de eso, de la máxima fineza, ¿sí?
383180	385680	Vamos a hablar del arte, vamos a hablar de...
385680	388820	El arte es espectacular, es como el nenito este que le gustaba a Liniers.
388980	390540	Me gusta el arte, a todos nos gusta el arte.
390540	393020	El que cree que no le gusta el arte es porque no está ampliando su definición.
393560	394640	Está haciendo corto.
394780	396140	Porque arte hay en todas partes.
396700	397500	Vamos a empezar a ver esto.
397520	401840	Esto surgió, por supuesto, a partir de los Oscars, algo que no le importa a nadie.
401920	403860	Yo adelanto, voy a hablar de esto y no los vi, ¿eh?
403860	405480	No vi los Oscars, no me pueden chupar más un huevo.
405900	408720	Y no, no estoy haciendo esto, ya lo he dicho en muchos magas, ¿viste?
408740	412020	Yo no creo en los esnovismos.
412120	416220	No es por, ay, no, yo no veo los Oscars, yo estoy para consumo indie independiente.
416280	416920	No, no, no, no.
417500	418740	A mí me encantaban los Oscars.
418740	422400	Yo era un pequeño niño sipayo que veía a los Oscars y era feliz.
422860	427220	Hasta que de repente empezaron a dejar de lado su función primordial, que es el entretenimiento.
427960	430500	Cuando algo no entretiene no, no, no es bueno.
430620	432180	Cuando ese es su rubro, obviamente, ¿no?
433200	438900	Y lo que pasó con los Oscars es que se volvieron un embole, básicamente, producto de la moralización de ese arte.
439260	440580	Esto lo vamos a estar debatiendo.
442300	446100	El arte es algo que no precisa de moralidad.
446100	450040	Y esto muchas veces la gente lo confunde porque cree que uno está haciendo una,
450040	453260	una suerte de prédica probaciamiento de contenido falso.
453300	455440	El contenido está, el contenido es.
455700	456980	Y uno con eso hace lo que quiere.
457500	461500	Pero cuando el arte se carga de bajada de línea,
461980	466340	es decir, cuando su objetivo principal empieza a ser esa bajada de línea,
466380	469500	y en segundo orden entretener o funcionar bien,
470120	473160	ahí las cosas empiezan a salir como el culo, ¿sí?
473700	475100	Porque deja de ser genuino.
475100	479080	Yo cité el otro día en Twitter lo que para mí fue la última gran,
479080	482540	gran premiación moderada por Ricky Gervais,
483040	484100	que hace un monólogo extraordinario.
485180	488460	Un monólogo que es, es ver un accidente de trenes en vivo.
488560	493040	El tipo se para en los Golden Globes frente a todos esos humanos intocables,
493480	494840	esos humanos que no pierden,
495240	500080	y de golpe les tira no solo el fiambre de Jeffrey Epstein para que se hagan cargo de su pedofilia,
500440	503840	es el tipo abre el cajón de su amigo Epstein, el pedófilo,
503840	507360	se los tira en la cara, aclara que va a ser su última intervención y lo sabe,
508200	512100	y al mismo tiempo le dice algo que es tan hermoso para mí.
512260	515600	Y aparte, no es solo hermoso, porque si no incurrirían lo mismo que estoy criticando.
515980	517200	Me hizo cagar de risa, ¿eh?
517680	520620	Me hizo cagar de risa primero y después me hace decir que piola.
520940	524220	Pero primero lo que no negocio es la risa, que me produzca algo,
524580	528380	si eso es lo que quiero ver, entretenerme básicamente, el hecho de entretenimiento.
529180	530160	El tipo agarra y les dice,
530160	534180	les pido un favor nada más cuando vengan a recibir sus premios,
534240	538540	no hagan un discurso, no bajen línea, ninguno de ustedes terminó la secundaria, les dice.
540660	542920	Es hermoso, es hermoso.
544100	546060	El tipo se los dice en la cara, ¿viste qué?
546240	548660	Las premiaciones son desfiles de correctismo político,
548800	550820	es que sube Brad Pitt y tenés que escucharte, o sea,
550900	553100	tenés que fumarte a Brad Pitt hablando del cambio climático.
553800	555780	Hijo de puta, ¡paga la custodia de tus hijos!
555780	559760	Me tenés que venir pedazo de borracho, ¿entendés?
560040	562180	O sea, ¿por qué me bajas línea, Brad Pitt?
562400	566220	¿Por qué no podés conformarte con ser increíblemente hermoso y actuar y entretenernos?
567000	570000	En definitiva, que se entienda, no es por sacar el cuero a nadie,
570120	572100	cada uno se lo que se le canta si quieren bajar línea o bajar línea,
573200	576280	pero hay algo que cuando eso empieza a ser la finalidad,
576600	581600	en vez de entretener, bueno, los Óscars se convirtieron en un Congreso de la ONU,
581780	582580	¿se entiende lo que digo?
582720	585120	¿Y cuál es la audiencia a los Congresos de la ONU?
585120	587520	¿Y cuando habla alguien entretenido?
588140	589740	¿Cuándo habla alguien que hace arte?
590160	591180	¿Cuándo mirabas la ONU?
591560	592620	¿Cuándo hablaba Chávez?
593580	594440	Fíjate, ¿no?
594860	596360	Fíjate qué interesante esto.
596720	598700	Cómo se redondea, se completa el círculo.
598940	600500	Tenemos más audios, mándame a ver otro...
600500	604020	Hola, Rebor, no tengo idea cómo hacer la consigna para mandar audios hoy,
604240	609120	pero simplemente te quiero decir que lo feliz que me hace este lunes arrancar
609120	611440	o terminar, lo mejor dicho, escuchando magas,
611580	612840	después de haberme dormido una siesta
612840	615480	y haber preparado cuatro clases para mañana
615900	618440	en un saque, no tiene desperdicio.
619680	622480	A mí también, compatriota, me hace feliz que estén del otro lado
622480	625400	y les reitero, si se están enganchando recién la consigna,
625480	627420	es eso, vamos a hablar de la máxima fineza,
627540	628860	vamos a interpretarla doctrinariamente
628860	633280	y también me van a contar ustedes momentos que estuvieron en contacto con la misma,
633500	637600	si es que fueron bendecidos por la dicha de atestiguar uno de estos eventos,
637700	639060	porque hay eventos de tal magnitud,
639060	642780	yo hoy di unos insumos, lo saben, o quizás no,
642980	644460	di unos insumos en Twitter,
645280	648340	donde puse, por ejemplo, recuerden un hecho que cito,
648500	650900	pero ya hago abuso de este hecho, así que lo voy a decir rápido,
651420	655560	que es cuando el Diego se apersona frente a Putin,
656380	658540	el ex KGB más homofóbico del planeta,
658880	662280	y le toma gentilmente la mano mientras le evalucean un dialecto olvidado,
662340	665460	la lengua que hablaba el Diego, acerca de vaya a saber uno qué cosa,
665840	668320	y Putin no hace otra cosa que sonreír socarrónamente.
668320	673000	Ese hecho en sí es un estado de máxima fineza puro, digamos.
673440	676540	Ese hecho es categoría kaiju de fineza, digamos,
676540	678540	o sea, si vos estabas ahí al lado te deja ciego,
678920	682060	es como tocar Chernobyl,
682220	685980	es como meter la mano en el núcleo abierto del reactor nuclear.
686500	688640	Eso es estado puro de máxima fineza.
689600	692840	Y se compone, por supuesto, de arte.
693380	696000	Ya con esto, vamos, me aproximo a la tanda,
696560	699160	pero no aún, quiero cerrar esto nada más.
699640	700280	¿Qué es lo que pasa?
700740	703200	Si yo digo que la moralidad cuando empieza a ser objetivo
703200	705560	en vez del arte en sí mismo, tenemos un problema,
705880	708940	es justamente porque el arte quizás es de las pocas cosas
708940	711360	que sea una finalidad en sí misma.
712040	714660	El arte no es para algo, ¿entienden lo que digo?
714660	717420	El arte es, uno se conmueve por eso,
717740	719000	le es inherente al espíritu.
719780	720960	Lo he dicho en otros lugares,
721340	723360	lo que nos ha hecho prevalecer como especie,
723360	727240	lo que ha hecho que el Homo sapiens gane a la batalla evolutiva
727240	728840	fue su capacidad de ficcionalizar,
729340	731720	la capacidad de abstraerse y generar un mundo que no existe,
732040	732840	es decir, el arte.
733300	735800	O sea, el arte es lo que nos hizo prosperar como especie.
736620	741480	Yo voy a citar una frase del amigo Astro Mostra, astrólogo,
741840	744700	que lo conozco del Ares Radiales, en su libro Astrología,
744840	745960	a mí la astrología me chupa un huevo,
746020	750380	pero me interesa en tanto normativa social, ¿se entiende?
750460	752660	Si todo creemos que existe como la plata, la guita que es,
752660	753920	nada, todos creemos que tiene valor.
754160	757340	Bueno, si todos creemos que ser de cáncer significa algo, banco, está buenísimo.
757880	761880	Astro Mostra tiene una frase al principio de su libro
761880	763460	que a mí me conmovió profundamente,
763680	764660	como lo hace el buen arte,
765440	767620	y Astro Mostra, o sea, alguien que está haciendo un libro de astrología
767620	770340	para currar con eso, básicamente, para chorearlos, como yo,
770820	774440	les dice, la astrología no sirve para nada,
775040	778960	y justamente por eso es la reserva poética más grande de la humanidad.
779720	781880	Yo dije, qué hermoso, un libro de astrología
781880	783020	que obviamente no pagué
783020	785780	y que me dice que lo que estoy leyendo no sirve para nada,
786060	787700	a partir de ahí dije, este chaval es un capo,
787960	789440	y lo banco y le mando un abrazo enorme,
789980	792340	y eso, eso justamente es el arte,
792660	795200	algo que no sirve para nada pero que nos alimenta al espíritu,
795400	797000	que necesitamos, que nos hace vivir.
797500	800260	En una frase de Charlie García, que tiene un momentum también,
800560	802220	una vez le preguntaron qué es el arte,
802600	805760	y él dijo, el arte es cagarte de frío, ¿sí?
806080	808540	Tenemos como esos dos parámetros para avanzar.
808860	811060	Y vamos a escuchar un tema ahora, ya que no vamos a una tanda,
811060	813520	voy a pasarle un tema de Babasónicos, ¿sí?
814360	816800	Sí, Dayana, vamos a pasarle un tema de Babasónicos, ¿eh?
817340	818140	Es un temón.
818380	821300	Yo de esto, acá, tengo que hacer nobleza obliga.
821560	824980	Yo conocí Babasónicos por mi amigo Yono Romí.
825340	828320	No soy tan amigo ahora, estoy medio peleado, pero bueno, son cosas que pasan.
828440	831460	Pero siempre lo recuerdo con gran cariño, gran afecto,
831520	833040	es una persona a la cual aprendí muchísimo.
833460	835320	Una de las cosas que aprendí, con mucho amor,
835500	839360	una de las cosas que aprendí fue el manantial de Finesa,
839360	841140	que era Babasónicos, unos tipos que tienen,
841180	843020	hay una exploración del arte muy interesante.
843380	845020	Vamos a escuchar un tema que escucharon cien veces,
845520	849780	pero les voy a pedir, escuchen con atención la letra, ¿eh?
