start	end	text
4720	13640	Ya estás sintiendo el ritmo de esta música sin copyright, mira lo suave que es, los agoveros
13640	20060	y las agoveras en sus casas tirando unos pasos, pero unos pasos suaves, son unos pasos con
20060	25600	un poco de swing, no son pasos muy fuleros ni muy fuertes, es smooth, es suave música
25600	30680	sin copyright, la música que le gusta a la gente, no te cansa lo suficiente y tenés
30680	38200	energía para no parar el resto del día, música sin copyright. ¿Cómo andan compatriotas? ¿Cómo andan
38200	47440	queridísimos papaeldos esmircolapios? ¿Cómo están gente? ¿Cómo están? Al fin una puta semana
47440	54620	linda, ¿cómo extrañaba un maga? Un maga sin locura o con la locura habitual, un maga sin presión,
54620	61520	un maga sin tormento, un maga de felicidad, un maga semana a semana donde podemos ponderar
61520	66840	verdaderamente cuestiones de agenda, donde podemos ponernos al día con un montón de cosas que han
66840	75180	venido reportando, ¿cómo extrañaba esta sensación, este sentir? Beatriz no, me ponen en el chat,
75740	85540	qué buen método, qué vieja, agradable Beatriz Arlo, qué persona amable y dada para la conversación,
85780	91340	métodazo, métodazo, me hizo acordar mucho a la situación profesora de la secundaria,
91940	96700	todos teníamos esa profesora de la secundaria y me di cuenta, viste como cuando te encontrás
96700	101180	con viejos amigos de la secundaria que uno vuelve a hacer el yo de la secundaria, al darme cuenta de
101340	106340	esa dinámica, me di cuenta que yo reaccioné exactamente a cómo reaccionaba con ese tipo
106340	116300	de profesoras en la secundaria que es como tratar de hacer y tratar de rezar porque salga una semi
116300	125580	sonrisa y tipo y no, no está entrando, no está entrando, no está entrando adentro, viste el
125720	135980	mando de control, no está funcionando, repito, no están entrando, no estaría, ya he entrado los
135980	144100	cuartas minutos, me dio una semi sonrisa y dije listo, ya estoy, firmo, acepto, victoria, felicidad,
145140	150540	me gustó, me gustó el método, me pareció que fue un método que también a su manera reveló su
150540	154960	esencia espiritual, ustedes saben que el objetivo primordial del método es que la gente revele su
154960	162220	esencia espiritual y siento que la Betty, la Insane Ass Betty Sarlo no defraudó para nada, tampoco
162220	168060	defraudó al público, tampoco, tampoco defraudó la gente que bardeó, yo quiero aclarar de esto
168060	173760	porque también desde las últimas semanas hay una cosa como no bardes a rigor, pero barden tranquilos,
173780	181660	de hecho para mí fue un ejemplo de buen bardo, nadie se metió con mi familia, nadie enloqueció,
181660	187660	la gente que me bardeó opinó que soy un estúpido, hoy de hecho se lo dije a Subus,
187700	192760	hoy tuve una conversación con Subus bastante distópica donde le digo ah, están bardeando
192760	198200	en Twitter, que dicen, no, que soy un tarado, está todo bien, mi recepción fue, no, no,
