start	end	text
0	5540	¿Qué pasó? ¿Qué pasó? ¿Qué pasó? ¿Qué pasó? ¿Qué pasó? ¿Cómo anda este maga?
5900	11140	Decime si tenemos imagen. Decime si nos ve alguien. Decime si...
11140	14380	Pasi... gente, gente, gente... paciencia.
14960	16420	Primer pedido, paciencia.
16840	19500	Lo primero que pasó es que me interrumpí a mí mismo
19500	22440	porque estaba Tomás Rebord hablando en el programa anterior
22440	25340	y tenía que entrar Tomás Rebord para ser maga, ¿sí?
25720	29900	El segundo factor, el segundo factor, es que como bien sabrán
29900	34960	estamos en un feriadazo y es una posición común, perdón que lo diga de esta manera,
35460	39360	en este país, de gente que no quiere laburar...
39360	40640	No, perdón que lo diga así, ¿eh?
40640	44880	De gente que no quiere laburar, no ir al trabajo, no agarrar la pala.
45480	51780	Entonces, yo sé que es fácil, viste, caerle a maga, pegarle a maga, eh, rebord esto, rebord lo otro,
52020	55720	pero ¿sabe qué? Rebord viene, papá. Rebord viene lo feriado.
56020	57500	¿Sabes lo que sería no hacer un maga?
57500	66760	¿Sabes la cantidad de gente neurodivergente que depende de maga para subsistir?
67020	70600	¿Sabes la cantidad de niños, niñas, adolescentes, jóvenes, adultos
70600	76200	y personas que están a un hilo, a un hilo de la vida diciendo
76780	80340	quizás ya no tenga nada en qué creer, pero existe maga?
80640	85440	Y acá estamos haciendo esto, loco, así que agradezcan, hermano, así que agradezcan.
85440	88620	Muchos de ustedes están notando que no se ve el chat.
88820	91420	¿Qué les acabo de decir? ¿Qué les acabo de decir?
93380	95280	¡Paciencia! ¿Qué les acabo de decir?
95680	98220	Yo los estoy leyendo. Yo los estoy leyendo acá.
99380	99780	¡Paciencia!
100200	103180	Vamos a empezar a sacarle el cuero a las personas que correspondan
103180	105360	para que la gente sepa un poco qué está pasando.
105900	108840	Bienvenidos y bienvenidas a un maga de feriado.
109020	111860	Ustedes ya lo saben, los magas de feriado son especiales
111860	114240	porque históricamente pasa que hay menos audiencia.
114240	117320	Yo no sé bien cómo es, pero aparentemente en los feriados la gente hace planes,
117820	121840	la gente sale, la gente hace cosas y no está cumpliendo sus rutinas habituales
121840	122900	en las cuales ven maga.
123060	125940	Por ende, los feriados, para todo agovero y agovera,
126040	130960	son un poco el reflejo del núcleo duro, del núcleo duro, del núcleo duro.
131480	134460	Los agoveros ya son un núcleo duro, ya son gente particular.
134960	137600	Si a ese agovero los filtrás por lunes feriado,
138000	142440	ahí te quedan, ahí te quedan los 300 en las termópilas.
142440	145880	Ahí te quedan los verdaderos de los verdaderos,
146040	148840	los que quedan al final, los que el Titanic se está hundiendo
148840	150320	y siguen tocando el violín.
150380	152420	¿Por qué? Porque maga debe continuar.
152800	154220	Y hoy somos los que estamos reunidos acá.
154320	159020	O sea, es una reunión íntima de agoveros, íntima de agoveros.
159280	162600	Estamos, tenemos casi dos lucas de personas, igual es una banda.
163960	165980	La verdad es que son un montón, cada vez nuestro núcleo duro es más grande.
166060	167480	Eso es algo que también hay que tener en cuenta.
167720	169720	Pero ha pasado siempre, históricamente en los feriados
169720	173540	hay menos gente porque la gente insiste en tener vidas y ese tipo de cosas.
173940	177660	Una de las personas que tienen vida, no sé si lo saben, es nuestro querido
178240	178680	Jungleman.
182460	187540	Yo, domingo, ayer a la noche recibí un WhatsApp del Jungleman,
188080	189600	de su querido Jungleman.
190360	192580	Jungleman me manda un mensaje de WhatsApp y dice,
192580	196020	escuchame una cosa, Rebord, me voy de joda.
197500	199680	Mañana voy a estar Knockout.
200400	204200	Se te ocurre algo, así voy haciendo la portada ahora, dejo la cosa hecha.
204480	205540	Que esto que el otro, no?
206260	207960	Yo le digo, bueno, Jungleman, tranquilo.
208060	209700	No, no, tranquilo, nada, me hizo el Jungleman.
209760	212400	Estoy re de fiesta y me chupo en huevo todo.
212960	214500	Todo me chupo en huevo.
215000	216560	Va a ir el loco Santi.
217840	218900	¿Se acuerdan de loco Santi?
219040	220360	Ya estuvo la vez pasada con nosotros.
220360	224120	Entonces ustedes no están viendo el chat porque hay un argentino de bien,
224820	227940	un argentino que quiere hacer la patria grande, que es el loco Santi,
228360	232000	que está con los ojos en llamas de locura.
232320	234680	Está, pero se le está por abrir un tercero en la frente
234680	236820	porque ya no sabe cómo acomodar el chat.
236960	239800	Y mira el zoom que me tiró ahí, por más que no lo pueda poner.
240360	244680	Entonces, para todo lo que están bardeando, primero un poquito de respeto.
245020	246340	Primero, un poquito de respeto.
246780	249580	Poquito de respeto porque el loco Santi acá le está peleando con los controles.
249580	252840	Y cuando el chat tenga que aparecer, va a aparecer, hermano, sí?
253600	256560	Entonces, si me quieren mandar un mensaje acá, acá lo veo.
256720	258420	Hoy se habla los cien infernales.
258640	261580	Somos el batallón sagrado de Tebas, de Bordzapes, se quiere culearse un guacho.
262360	266320	Entonces, todos estos, todos estos que somos nosotros sabemos lo que necesitamos
266320	269580	y no nos vamos a tirar las cartas entre agoveros.
270560	272140	Loco Santi, cómo viene el chat? Está complicado, no?
272900	276040	Ahí lo veis que no, no está saliendo, no está saliendo.
276460	279520	Pégale un llamado al Jungleman, igual ya se le tiene que haber pasado, boludo,
279520	285180	cuánta resaca entiendo que entiendo que The Jungleman debe meter, debe, debe.
285480	287800	Si lo conocen al Jungleman, esto sería más gracioso porque es el tipo más
287800	288500	tranquilo del mundo.
289420	293160	Pero si alguien debe party hard es The Jungleman.
294360	297180	Entonces, ahí veo algo, ahí veo algo.
297480	298920	Ojo, que está empezando a aparecer el chat.
299800	302120	La gente banca el loco Santi haciendo lo que se pueda.
302360	304200	Les voy a decir otra cosa, les voy a decir otra cosa.
305360	307300	Ehh, Maxi está de vacaciones.
308480	311300	Por ende, no tengo coordinador de aire.
312420	319280	Entonces, entonces tengo pedí el celular de la radio con WhatsApp abierto.
319960	324140	Esto es la precariedad de este maga, compatriotas, es total.
324500	327380	Este maga lo sacamos adelante entre todos o morimos.
327480	330880	Esto es laburar un feriado y lo vamos a hacer juntos, hijos de puta.
331560	333060	Los vamos a hacer juntos, hijos de puta.
333180	336480	Y ahí está el chat, está un poquito largado y vertical, pero está bien igual.
336480	339560	Santi se lee, es legible loco, es legible Santi.
339880	341720	Vamos Santi, festeja a la gente.
342020	343940	Dale que va, dale que va.
344680	347080	Compatriotas, tengo abierto el WhatsApp de la radio.
348220	349180	No tengo operador.
349720	352100	Cada audio puede ser una denuncia penal.
354760	357500	Una ronda de aplausos para el loco Santi, loco.
358600	362180	Mirá, ahí va papá, mirá como son los aguderos, mirá como están entrando
362180	364640	mensajes al WhatsApp de la radio, esto va a estar complicado.
364640	367260	Una ronda de aplausos, loco, Santi pedido por el gobierno.
368520	369580	Atajate este programa.
370840	373180	Atajate este programa que se autoproduce, hijo de puta.
374540	376960	Porque después vienen, después vienen todos los libertantos.
377420	379780	Quise decir libertontos y me salió libertantos.
380400	381520	No pude ni insultar.
381780	384900	Quise insultarlos y pifíe, me equivoqué insultando.
385300	388440	Después vienen a querer decirte cuántos pares son tres botas.
388460	389340	Uy, está como loquita.
389720	391160	Mirá, tiene sonido.
391440	393840	Primera cosa que no me di cuenta, está en modo sonido.
394640	396040	Me entran mensajes.
396240	397420	Está como loquita el chat.
397800	398420	Está como loquita.
399340	403540	Primer maga autooperado de la historia, audio aleatorio.
410540	412720	Vamos, papá, venimos invictos con los audios.
412800	414360	Puede entrar cualquiera, mirá lo que son.
415520	416500	Mirá lo que es maga.
416760	418140	Matarían por un programa así.
418340	419240	Por eso bardean.
419520	421520	Se piensan que no me doy cuenta que bardean por eso.
422440	424500	Están todos en su casa, resentidos.
424680	425900	Vamos a hacer un aplauso a este maga.
426040	427400	Primer maga autooperado de la historia.
428060	429720	Vamos, viejo, gracias por estar acá este feriado.
430160	431420	2.400 personas.
431700	433020	El núcleo duro del núcleo duro.
433140	434860	Voy a dar importantes anuncios acá
434860	436500	porque se lo quiero decir a mi tropa.
436580	438480	Al batallón sagrado de maga, loco.
438720	441780	El batallón sagrado de maga autooperado con el loco Santi
442480	445040	resistiendo en la última trinchera de un lunes feriado.
445320	446040	Hace frío.
