start	end	text
4980	15860	para que caso de los pájaros para que hay que tener una jaula, un abrido y ese el problema
15860	22460	es que la deuda es como la faropa, al principio es rica, pero después te mata. Vos sabés
22460	29520	que sí. Vos sabés que sí. Vos sabés que sí. Si esta copa es de leche, te la tomaste
29520	35960	toda. Te la tomaste toda, chingüengüencha. No sabe ni hablar, brutos. Vaya a estudiar.
36460	40180	Acaba de contar la medicina porque me quitaron un cuchillo y después quedó entre mis cabas,
40180	43180	loca. Ah, bueno, no me importa. Algo no es de bolígrafo.
56080	65920	¿Cómo andan? ¿Cómo andan, agoveros? ¿Cómo andan? ¡Uy! ¡Uy! ¡Uy! ¡Uy! ¡Sienten eso! ¡Sienten eso!
66200	78920	¡Sienten eso! ¡Uy! ¡Uy! ¡Uy! ¡Uy! ¡Uy! ¡Sienten eso! ¡Arde! ¡Arde el micrófono de verdades! ¡Arde!
78920	85600	¡Sienten lo que está pasando! ¡Sienten! ¡Hágase la luz y vuelvan los servidores! ¿Qué se piensan?
85600	92480	¿Qué es un accidente? Había agoveros por la calle. Yo venía para acá y me frenaban
92480	98020	y que me decían, por favor, Rebord, por favor, ¿cómo vamos a mandar audios? ¿Cómo vamos
98020	106720	a mandar nuestras verdades al 11-39-39-88-88? ¿Cómo vamos a hacer? Yo les dije, calmaos.
108660	114760	¡Calmaos! Les dije. Y me dijeron, gracias, Orgo. No, no hay nada que agradecer. Cuando
114760	122220	se haga MAGA, se hará la luz. Y así, así, es como nos reencontramos. Porque MAGA realiza
122220	126620	milagros. Vamos a arrancar, vamos a arrancar. Bienvenida a la gente, bienvenidos a los que
126620	131340	van llegando, bienvenidos a los intercambios ahí en Twitch. Veo que están intercambiando
131340	135340	las poderosas palabras árabes. Veo que hay también temas al respecto del escudo
135340	140680	de River. Vamos a hablar de todo eso. Porque este es el único programa dedicado exclusivamente
140680	144760	a la metafísica en el Río de la Plata, en la República Argentina. El único programa
144760	150520	metafísico del país y quizás, quizás, de la historia de la humanidad. Tenemos tanto
150520	156220	para hablar tanto. Arde de verdades este micrófono. Arde, arde de verdades. Arde más que el
157760	163060	picante. Así de mucho arde. Así de mucho. Y tengo un par de, tenemos un par de anuncios.
163140	170240	Arranquemos con unos anuncios. Anuncio uno. Quiero agradecer a la gente que vino al sermón
170240	175160	de rabia que se aproximó. Quiero aclararles que siempre que hablen de algún lugar físicamente,
175240	180140	no voy a reproducir eso después en el resto de formatos. Es decir, son eventos únicos
180140	184400	e irrepetibles que suceden en vivo. Es tan único e irrepetible como, bueno, quienes
184400	188800	estuvieron ahí lo saben. Ya tenemos hechos de los apóstoles. Tenemos algunos. Como Dani.
189200	194140	Dani, nuestro agovero. Dani está en silla de ruedas. Dani no camina. Estaba llegando a rabia
194140	198980	y me mandó un mensaje. Rebord, perdón, estoy acá. No sabía que era un tercer piso. Me voy,
199040	205160	me dijo. Dani me habló avergonzado. Me dijo perdón, voy a irme. Me retiro. Yo le dije,
205220	212860	Dani, no te vas un carajo. No te vas una mierda. Vos vas a subir. Dani me dijo, pero Rebord. No,
212860	222760	no puedo. Yo no puedo subir. Y yo le dije, tú subirás, Dani. Y le escribí a un apóstol. Le escribí a
222760	227240	Nico Espacavento, que quizás está acá en esta comunidad ahora, en este encuentro. Y le dije,
227300	233720	Nico, hay que subir a Dani. Ahora. Esa hora. Es más, ¿saben qué? En realidad no le dije eso.
234140	242080	Solo le dije esa hora. No faltó más. Nico bajó como un rayo. Bajó, buscó a Dani y lo interceptó.
242080	247220	Y ahí lo vimos juntos. Y por favor, acá viene el milagro, porque Maga realiza milagros. Hay
247220	254080	milagros en Maga. Vayan a Rabia el día que quieran y por favor vayan a las escaleras esas. Y midan
254080	261380	las escaleras y díganme, díganme si una silla de ruedas llega al tercer piso. Hagan así. Lleven
261380	267920	una regla, un metro. Hagan las mediciones. Usen su ciencia, su precaria ciencia de refutadores de
268750	274290	para intentar entender lo que pasó. Van a medir la escalera una mil veces. No le van a dar los
274290	280290	números. Van a quedar rendidos y van a decir, no puede ser. No puede ser. Nadie en silla de ruedas
280290	285790	puede subir. Y Dani subió. Hagan los cálculos que quieran. Los jagoveros que estuvieron ahí lo vieron.
286190	292810	Dani caminó. Dani se paró, caminó y llegó a la terraza. La terraza de Rabia. Entonces,
292810	296330	le quiero agradecer a esas personas que fueron a bancar. Muchísima gente. Un escándalo de gente.
296330	301250	Había como unas 200 personas. Esto es un número real. Hay otros. Están los inflados. Yo les doy el
