start	end	text
0	11340	que sí, vos sabés que sí, vos sabés que sí, vos sabés que sí, si esta copa es de leche, te la tomaste toda, te la tomaste toda, chingüengüencha.
11420	14460	No sabe ni hablar, brutos. Vaya a estudiar.
14780	18880	Acaba de cortar la medicina porque metí que era un cuchillo y que fue que electrificaba, loco.
19120	21260	Ah, bueno. Ay, dame que puede.
34200	44940	¿Cómo andan agoveros, agoveras? ¿Cómo andan compatriotas? ¿Cómo andan argentinos, argentinas? ¿Cómo andan rebordistas?
44940	51220	¿Cómo andan anti agoveros? ¿Cómo andan anti rebordistas? ¿Cómo andan enemigos?
51380	61200	Enemigos que miran este programa para tratar de hacernos daño, para tratar de sacar información, para tratar de desbandar por completo el movimiento.
61320	64980	Le quiero dar la bienvenida, estaba leyendo acá el chat de Telegram.
65260	68600	Había Gabriel Hoy, creo que era Gabriel Hoy, decía, mi primer MAGA en vivo.
70000	74600	Qué inocente. Todavía está feliz. Gabriel Hoy todavía conserva esperanza.
75700	80020	¿Cómo están? ¿Cómo están ustedes, de verdad? Nunca me dicen cómo están.
80700	85960	Nunca me dicen cómo se sienten. Nunca me dicen, pseudo pamper, saber si sobrevive.
86360	89860	Está paranoico. Nuevo el buzo. Sí, sí, nunca lo usé.
90480	96240	Hoy me siento mal. Hoy más o menos de corchazo, extremadamente pésimo.
96240	98980	Nadie pregunta cómo está rebord, dice acá Pretorik.
99100	104940	Mira, yo estoy como el orto. Estoy verdaderamente como el orto.
105120	110700	Estoy como el orto ya a un nivel de no... Ni siquiera es gracioso, ¿viste? Ni siquiera es...
111240	115980	Está mal. Va a ser un chiste sobre que está mal. No, solo me siento mal.
116860	119320	Tal es así que tengo algunos anuncios para arrancar.
119780	124700	El primero es que vamos a instaurar un breve silencio de invierno, BSI.
125380	129200	Breve silencio de invierno. Como lo indica el acrónimo, va a ser breve.
129580	135540	No desesperen, va a ser un poquito. Pero verdaderamente necesitamos todos frenar un poco
135540	139340	para renovar alguna de las energías que estamos acá invocando y transitando.
139580	144700	Le voy a contar un poco qué me pasa, ya que probablemente el compañero que ve por primera vez este MAGA
144700	148700	cree que se tratará de cosas interesantes de coyuntura, yo le voy a hablar de mi salud para arrancar.
149320	156780	Me está pasando algo que estoy ininterrumpidamente enfermo hace un mes aproximadamente
157940	162000	con la aclaración de que solo caigo los fines de semana, además.
162300	167060	Lo cual tiene componentes de psicosomatización... No puedo ni hablar, ¿se dan cuenta?
167920	169720	Impresionantes. ¿Por qué? ¿Qué creo que me sucede?
170000	173980	Yo en la semana me pongo en modo activo. Dale, hay que grabar. Dale, hay que hacer los programas.
173980	177020	Dale, hay que seguirme. Pongo focus, como bien me indica Maxi acá.
177440	180880	Focus pero sin capacidad absoluta de ir al gimnasio, nada por el estilo.
180980	185240	Solo focus en términos laborales. Llega el fin de semana, el momento en el que yo digo
185700	192460	ah, al fin puedo relajarme. Y fin de semana pasado me quedé sin voz, no pude hablar durante todo el fin de semana.
193940	198480	Levanté fiebre, malestar, me fui a dormir. Dormí casi todo el fin de semana, positivo.
198480	204660	Como el orto, negativo. Viste, cuando te vas a dormir y solo transpirás y te despertás cubierto en sudor
204660	208400	con un grito de pánico a las 3 am. Mira, le estaba pasando muy mal el chabón.
